iteration,incumbent_aic,incumbent_bic,incumbent_MAE,incumbent_MSE,incumbent_MAE_TEST,incumbent_MSE_TEST,incumbent_MAE_VAL,incumbent_MSE_VAL,incumbent_RMSE_VAL,incumbent_RMSE_TEST,incumbent_RMSE,incumbent_sol_num,incumbent_num_parm,incumbent_pval_exceed,incumbent_pval_percentage,incumbent_loglik,incumbent_simple,incumbent_CAIC,incumbent_DIC,incumbent_HQIC,incumbent_AICc,best_aic,best_bic,best_MAE,best_MSE,best_MAE_TEST,best_MSE_TEST,best_MAE_VAL,best_MSE_VAL,best_RMSE_VAL,best_RMSE_TEST,best_RMSE,best_sol_num,best_num_parm,best_pval_exceed,best_pval_percentage,best_loglik,best_CAIC,best_DIC,best_HQIC,best_AICc
1,1936.528153673879,2047.01051020674,954.0394092170128,934552.6555513432,938.5025835603186,916180.0093501995,941.4953275045544,913154.0814105326,955.5909592553356,957.1729255208796,966.7226363085449,21,31,19,0.6129032258064516,-937.2640768369395,f_rpxh_p,2037.6715495299304,1939.3120878640557,1977.4267480705453,1948.928153673879,57483.40878004138,57586.60952337558,549.0915016161314,520761.9064708498,530.6722164515876,501758.1255976573,554.5593624162337,523329.2490055792,598.2650609530083,556.4227570453077,590.2680760977603,10.55,28.45,21.05,0.7700762102250479,-28713.25439002069,57576.23231591572,57485.963713193334,57520.94313522153,57494.334527803876
2,21374.075963770403,21485.058320303266,18.790605942030712,959.4472936576207,21.47717315516691,1047.1867691231582,17.228872710756782,731.4892556320287,27.046058042384452,32.360265282026944,30.974946225257934,22,31,20,0.6451612903225806,-10656.037981885202,f_rp_c_p,21475.219359626455,21376.85989796058,21414.97455816707,21386.475963770405,51476.47117255219,51581.2756635724,500.852125663233,472415.4494084494,482.7143677922728,453706.48981416214,506.2434250993907,474975.6175159798,550.4288459101941,508.99793437899444,542.6261589354243,11.5,28.95,21.0,0.752334274741177,-25709.2855862761,51570.926053520976,51479.07100786849,51514.66518248068,51487.745155608805
3,1489.4594686181376,1598.184329778971,28.63033595833603,2361.81067999589,28.73422322313673,2047.1324546704277,40.755620155899734,4163.907614771558,64.52834737362764,45.245247868372076,48.59846376168582,23,30,22,0.7333333333333333,-714.7297343090688,f_rp_cxh_p,1587.3401742852843,1492.1535984795992,1529.0387535181374,1501.0122636491935,44475.30274030539,44581.59810424301,453.10473621114977,424139.11051536596,435.1193716363565,405704.85131494445,459.10382515480467,426793.60694433737,504.46674533394196,462.2173608419986,495.86541764991,12.45,29.4,21.05,0.7390009414078437,-22208.2513701527,44571.2258318592,44477.94298756962,44514.09043950738,44486.88259840767
4,141376.90173096233,141440.7791522868,983.578125,967888.5885416666,980.6341463414634,962079.9024390244,983.547619047619,967804.119047619,983.7703588986706,980.8567186082911,983.8132894719743,24,17,17,1.0,-70671.45086548117,f_p,141432.3674641737,141378.4284045505,141399.32999240566,141380.41897234163,44468.5064211758,44574.050286039,453.10473621114977,424139.11051536596,435.1193716363565,405704.85131494445,459.10382515480467,426793.60694433737,504.46674533394196,462.2173608419986,495.86541764991,13.15,29.2,20.85,0.7390009414078437,-22205.053210587903,44563.77697469182,44471.128707574295,44507.030258478466,44479.99037664117
5,141504.82811355413,141568.7055348786,983.578125,967888.5885416666,980.6341463414634,962079.9024390244,983.547619047619,967804.119047619,983.7703588986706,980.8567186082911,983.8132894719743,25,17,17,1.0,-70735.41405677707,f_p,141560.2938467655,141506.3547871423,141527.25637499747,141508.34535493344,44468.3064211758,44573.4745365018,453.10473621114977,424139.11051536596,435.1193716363565,405704.85131494445,459.10382515480467,426793.60694433737,504.46674533394196,462.2173608419986,495.86541764991,14.0,29.1,20.75,0.7390009414078437,-22205.053210587903,44563.25070567294,44470.91972714142,44506.69832752879,44479.74530847758
6,20349.56451361771,20461.546870150574,17.671679096407434,1071.2958984156292,18.302907162838988,768.0066001130054,43.494494402367934,15872.55363700215,125.98632321407808,27.712932001378082,32.73065685890873,26,31,22,0.7096774193548387,-10143.782256808856,f_rp_c_p,20450.707909473764,20352.34844780789,20390.463108014377,20361.964513617713,38410.343241178976,38517.540853728206,404.80941391597014,375798.24588320334,387.00280967742526,357639.2565229989,412.1011689225422,379197.0286738066,461.5775435497124,414.56017151165287,448.31128601925667,15.0,29.7,20.9,0.7244848123755856,-19175.471620589487,38507.24513978946,38413.01042974183,38449.52673322998,38422.181198248196
7,93375.11565761734,93467.81053729006,16.421874899442532,732.3385381576486,19.365853658219972,811.6097560775224,16.45236648684144,708.8801711711181,26.6248036832409,28.48876543617716,27.06175415891676,27,26,16,0.6153846153846154,-46661.55782880867,f_rp_cxh_p,93459.94560252887,93377.45057016394,93409.41770453067,93383.62474852643,36003.857618382135,36112.496103848775,356.45160141094226,327440.4333830279,338.93939504326306,309575.8418888516,363.7464062945033,330842.26672998414,413.72026578894094,366.94177385304715,400.4737092536037,15.65,30.15,20.85,0.7052540431448164,-17971.77880919107,36102.22772757763,36006.565218892916,36043.63479970664,36015.94516792784
8,13768.517619718383,13866.469994763132,29.983607511002628,4129.428052051447,27.65277521226608,3022.4869581360567,63.600182227535676,44360.15513753273,210.61850616109862,54.97714941806329,64.26062598552434,28,27,20,0.7407407407407407,-6857.258809859191,f_rp_cxh_p,13856.610254818816,13770.942336593698,13804.138976128383,13777.737131913505,29617.04209369035,29727.384326843003,308.77187553649236,279252.4753585471,291.29032648680317,261622.97111480715,317.7490344534991,284670.0685344798,375.0626731520623,320.6477953935358,354.4960760792813,15.8,30.65,21.0,0.6922910801818534,-14777.871046845175,29717.04354798029,29619.794596365486,29657.478929763183,29629.414756776852
9,22022.003026605023,22147.015364625997,26.708197044061137,10780.44872188736,19.225524789902057,798.3794671312124,66.8248372671357,46166.478806746556,214.8638610998754,28.255609480795357,103.82893971281494,29,35,22,0.6285714285714286,-10976.001513302512,f_rpxh_p,22136.197183216693,22025.146178110062,22068.178858988358,22038.15687275887,23649.297158472484,23762.696137459963,260.92837913869545,231397.06836755815,243.2198954092251,213558.8949662125,271.91289536447493,238588.18652243615,336.61734826212256,273.01773993716097,310.4968585913233,16.05,31.55,21.25,0.6737196516104248,-11793.098579236243,23752.23503393244,23652.13048504346,23690.92137309232,23662.301651797716
10,1538.9655857230478,1657.9629329999646,47.42223746012953,5494.121142120079,48.65132167218862,5521.162850408953,88.6432665556304,44415.273375876175,210.74931405790193,74.3045277921134,74.12233902218736,30,33,23,0.696969696969697,-736.4827928615239,f_rp_cxh_p,1646.634361956909,1541.9291285706554,1582.5027991130473,1553.1681173686175,21981.063027468605,22094.43700645608,214.54359328008906,183803.19457465847,196.62075417576133,165730.95798678172,227.1676777398755,192418.744238849,297.9662960200841,227.69013039635212,265.28029171887,17.2,31.55,21.2,0.6722045000952732,-10958.981513734303,22084.00090292855,21983.89635403957,22022.687242088436,21994.06752079383
