iteration,incumbent_aic,incumbent_bic,incumbent_MAE,incumbent_MSE,incumbent_MAE_TEST,incumbent_MSE_TEST,incumbent_MAE_VAL,incumbent_MSE_VAL,incumbent_RMSE_VAL,incumbent_RMSE_TEST,incumbent_RMSE,incumbent_sol_num,incumbent_num_parm,incumbent_pval_exceed,incumbent_pval_percentage,incumbent_loglik,incumbent_simple,incumbent_CAIC,incumbent_DIC,incumbent_HQIC,incumbent_AICc
0,1135.4574547073607,1352.269378873851,0.08309155126942358,0.05011629103278308,0.08841661927122794,0.07660576123319417,10000000.0,10000000.0,10000000.0,0.27677745795709985,0.22386668138153806,1,11,8,0.7272727272727273,-556.7287273536804,f_rpxh_nb,1192.27788293303,1157.3277882890034,1156.77917346696,1135.663543700335
0,437.63278576752975,654.4447099340202,0.0888052323253277,0.06107259245114739,0.08280338107490118,0.04844248832695244,10000000.0,10000000.0,10000000.0,0.22009654319628114,0.24712869613047245,1,11,8,0.7272727272727273,-207.81639288376488,f_rpxh_nb,494.45321399319903,459.5031193491724,458.9545045271289,437.838874760504
0,701.8183997846331,918.6303239511235,0.08894597080782955,0.06286426394464155,0.08955900457496374,0.04804598109274508,10000000.0,10000000.0,10000000.0,0.2191939348904186,0.25072746946563623,1,11,8,0.7272727272727273,-339.90919989231656,f_rpxh_nb,758.6388280103024,723.6887333662758,723.1401185442323,702.0244887776074
1,517.593223767284,664.0757071762307,0.1091988548650633,0.07596814786305607,0.09826680640403669,0.05038974662484256,10000000.0,10000000.0,10000000.0,0.2244766059633889,0.2756231990654199,2,9,5,0.5555555555555556,-249.79661188364202,f_rp_c_p,564.0826650428316,535.4871330613553,535.0382663887742,517.7335199481103
2,436.0499331456699,728.3560184484759,0.08904677983837166,0.06308909497780565,0.0896751939555819,0.048021217419860415,10000000.0,10000000.0,10000000.0,0.21913743956672582,0.2511754266997583,3,14,11,0.7857142857142857,-204.02496657283496,f_cxh_p,508.3668417965217,463.8849031586696,463.1866661124325,436.3785716433225
3,433.45347798480543,599.9359613937522,0.09038543624001655,0.06416124477530788,0.08988721856339213,0.047890447231134975,10000000.0,10000000.0,10000000.0,0.21883886133668073,0.253300700305601,4,9,6,0.6666666666666666,-207.72673899240272,f_rpxh_p,479.94291926035305,451.3473872788767,450.8985206062957,433.5937741656316
4,428.0265072089179,599.6737109966365,0.08903774453872662,0.06295906402155693,0.08982065974581938,0.048112734152684626,10000000.0,10000000.0,10000000.0,0.21934615144261052,0.25091644828818405,5,10,6,0.6,-204.01325360445895,f_rpxh_p,479.68144195952635,447.90862864677484,447.4098878994626,428.19811407319247
5,469.59717228349183,530.2560537985793,0.1000425244117612,0.07302434239312014,0.09308133408899873,0.04896834425501999,10000000.0,10000000.0,10000000.0,0.22128792162027278,0.270230165586894,6,4,2,0.5,-230.79858614174591,f_nb,490.2591461837352,477.5500208586346,477.3505245597097,469.62822818411297
6,560.9344472866939,712.5816510744124,0.10957964084903211,0.07489605545986824,0.10151648376877838,0.05020623318582473,10000000.0,10000000.0,10000000.0,0.2240674746272308,0.2736714370552182,7,10,5,0.5,-270.4672236433469,f_rp_c_p,612.5893820373024,580.8165687245507,580.3178279772385,561.1060541509685
7,430.29064000045815,607.1025641669486,0.08891929721016675,0.0628744158675049,0.08955247513923734,0.04791832076152145,10000000.0,10000000.0,10000000.0,0.2189025371290188,0.250747713583803,8,11,6,0.5454545454545454,-204.14532000022908,f_rp_c_p,487.1110682261275,452.1609735821008,451.6123587600573,430.4967289934324
8,434.7520759886753,525.7403982613064,0.09091664098007195,0.06409707013847488,0.08902341177272605,0.04666603149923928,10000000.0,10000000.0,10000000.0,0.21602321981499878,0.25317399182869255,9,6,3,0.5,-211.37603799433765,f_rp_p,465.7450368390404,446.68134885138943,446.38210440300213,434.81739480671575
9,434.8463102487835,616.8229547940457,0.08939107006471461,0.06347513227206626,0.08978644805265971,0.047623330024109574,10000000.0,10000000.0,10000000.0,0.2182277022380742,0.25194271625126663,10,12,6,0.5,-205.42315512439174,f_rp_c_p,496.83223194951364,458.7048559742118,458.1063670774371,435.09006024878346
