Column,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Distributions,Transformations
ID linked to 4745 data,True,False,False,False,True,False,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
NewSecId,True,False,False,False,True,False,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
HomogeneousSectionID,True,False,False,False,True,False,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
LEN_Gz,True,False,False,False,True,False,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
LEN_YR,True,False,False,False,True,False,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
Constant,True,False,False,False,True,False,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
AADT,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
MCV,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
ArtVeh,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
SP,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
HSP,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
MSP,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
LSP,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
M_Curve,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
S_Curve,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
VS_Curve,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
Curve,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
Curve50,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
L_Ter,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
Roll_Ter,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
Mt_Ter,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
Nlanes,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
Lwidth,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
F_W,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
FW_RS,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
FW_US,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
Median,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
ATLM,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
M,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
US,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
RS,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
G_NG,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
RSMS,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
RSHS,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
RSLS,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
Length,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
C50RT,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
LW_RS,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
LW_US,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
RD,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
SW,True,True,True,True,True,True,"['Normal', 'Triangular', 'Uniform', 'Log-Normal', 'Trunc-Normal']","['no', 'sqrt', 'log', 'arcsinh']"
