Constant,LOWPRE,GBRPM,FRICTION,EXPOSE,INTPM,CPM,HISNOW,FREQ
1,0,1.898734177,53,1.881852838,0.632911392,1.265822785,0,140
1,0,1.693548387,51.5,3.02187442,0.322580645,0.725806452,1,135
1,0,0.531914894,50.5,1.041219294,1.063829787,0.531914894,1,133
1,0,9.433962264,53.7,0.114750671,1.886792453,0.943396226,0,109
1,0,0.666666667,40.5,0.944749575,1.333333333,1.333333333,1,97
1,0,1.739130435,50.5,0.63227782,0.869565217,1.739130435,1,81
1,0,1.675977654,44.8,0.94108534,0,1.117318436,0,80
1,0,1.333333333,41.5,0.873552675,0.666666667,0.666666667,0,69
1,0,1.117318436,44.8,1.925500852,0.558659218,1.117318436,1,69
1,0,3.041825095,49.8,0.848423009,0.380228137,1.520912548,1,66
1,0,1.98019802,42.5,0.482533358,0.99009901,0.99009901,0,65
1,1,1.450777202,54.4,0.83998618,0.155440415,0.466321244,1,64
1,0,1.707317073,50,0.9676369,0.365853659,0.853658537,1,58
1,0,1.360544218,47.5,0.621780968,0.680272109,1.360544218,1,58
1,0,1.530612245,40.3,0.571232592,0.510204082,1.530612245,0,56
1,0,1.034482759,56.3,0.25245225,0.517241379,1.034482759,1,55
1,0,1.474201474,54.8,1.147676508,0.491400491,0.491400491,0,50
1,0,1.322751323,53.5,0.878151456,0.264550265,0.529100529,1,49
1,0,0.301204819,52,0.610274598,0.903614458,0.301204819,0,49
1,0,2.074688797,50.5,0.74330425,0,0.20746888,0,48
1,0,1.333333333,44.8,0.3943095,0,0,0,48
1,0,1.435406699,41.9,1.081522959,0.4784689,1.196172249,0,48
1,0,1.25,41,0.42393436,1.25,1.25,0,47
1,1,1.856148492,44.6,0.363492039,0.464037123,1.856148492,0,47
1,0,3.349282297,46.5,0.203673322,1.435406699,2.392344498,1,46
1,1,1.318681319,55.3,0.714355005,0.43956044,1.098901099,0,43
1,0,2.027027027,50,0.553099976,0.337837838,0.675675676,0,42
1,1,0.869565217,60.8,0.799749675,0.173913043,1.217391304,0,42
1,0,3.260869565,52.8,0.176251346,1.086956522,2.173913043,1,38
1,1,1.931330472,43.6,0.601693375,0.643776824,1.502145923,0,37
1,0,0.787401575,50,0.221702059,1.57480315,1.57480315,0,37
1,0,1.230228471,46.2,0.283053887,0,1.054481547,1,36
1,0,2.158273381,51.5,0.336099081,0.71942446,0,0,36
1,0,0.279329609,49.6,0.32706701,0,1.117318436,0,35
1,0,1.272264631,46.8,0.304648491,0,1.272264631,1,35
1,1,1.06870229,53.1,0.55188073,0.076335878,0.763358779,1,35
1,0,1.639344262,54.8,0.642449896,0.468384075,0.93676815,0,34
1,0,1.485148515,54,0.361594039,0.495049505,1.485148515,0,34
1,1,0.860832138,46.1,0.880292181,0.286944046,1.147776184,0,33
1,0,4.807692308,45.1,0.698737312,0.240384615,0.721153846,1,30
1,0,0,42,0.332985485,1.886792453,1.886792453,0,29
1,0,1.655629139,50.3,0.309261288,0.331125828,1.324503311,0,29
1,0,5.063291139,42,0.164353733,1.265822785,1.265822785,1,29
1,1,1.047120419,61.2,0.546677144,0.065445026,1.897905759,0,29
1,0,0.81300813,55.5,0.235927715,0.81300813,2.43902439,0,29
1,1,1.203369434,47,0.450938411,0.240673887,0.962695548,0,28
1,0,1.740812379,46.6,0.312287905,0,2.127659574,0,28
1,0,2.688172043,56.5,0.206025783,1.075268817,2.150537634,1,28
1,0,4.054054054,42,0.153951598,2.702702703,2.702702703,1,27
1,0,1.538461538,48,0.248728155,0.512820513,1.538461538,1,27
1,1,1.238556812,41.9,0.633408773,0,0.538502962,0,27
1,0,1.530612245,49.5,0.32768897,1.020408163,1.530612245,0,27
1,0,1.764705882,47.8,0.21554929,1.176470588,0,0,26
1,0,2.135231317,42.8,0.837176556,0.355871886,1.067615658,1,26
1,0,0.983606557,51.5,0.590801775,0.327868852,0.983606557,0,26
1,0,2.777777778,47.2,0.571278582,0.308641975,0.308641975,0,25
1,0,1.01010101,41,0.524618771,0,1.01010101,0,25
1,0,2.068965517,55,0.412846755,0.689655172,2.068965517,0,25
1,0,0.81300813,50,0.283076444,0.81300813,1.62601626,0,25
1,0,1.57480315,49.7,0.296199179,0.787401575,1.57480315,0,24
1,0,1.265822785,44.5,0.180933858,0.632911392,0.632911392,1,24
1,0,3.703703704,41,0.293901723,0,3.703703704,1,24
1,0,0,46.5,0.099489729,1.960784314,3.921568627,0,23
1,0,1.860465116,49.5,0.266202895,0.465116279,1.395348837,1,23
1,0,1.818181818,46.8,0.41703805,0.363636364,1.090909091,0,22
1,0,1.865671642,44.2,0.205607858,0.373134328,0.746268657,1,22
1,0,1.435406699,43.8,0.160694353,0.4784689,0.956937799,1,21
1,0,1.062215478,44.4,0.418603061,0.151745068,1.365705615,1,21
1,0,1.724137931,51.5,0.12435258,1.724137931,0.862068966,1,20
1,0,1.831501832,45.5,0.213569129,0.366300366,1.465201465,1,20
1,1,1.346153846,46.3,0.31178446,0.192307692,0.961538462,0,20
1,0,4.395604396,57.5,0.337613868,1.098901099,2.197802198,0,19
1,0,6.504065041,43.5,0.195993612,1.62601626,1.62601626,1,19
1,0,1.538461538,40.5,0.084131223,1.538461538,3.076923077,1,19
1,0,1.843317972,50.5,0.25629946,0.921658986,1.382488479,1,19
1,0,2.597402597,50.6,0.099199408,1.298701299,2.597402597,1,19
1,0,1.282051282,43.5,0.128069448,0.641025641,0.641025641,1,19
1,1,1.475237092,51.7,0.297267607,0.105374078,0.105374078,0,19
1,0,0.829875519,49,0.407814537,0.414937759,0,0,18
1,0,0.735294118,54.3,0.290632272,0.735294118,0.735294118,1,18
1,0,2.118644068,49.8,0.448022754,0.847457627,0.847457627,1,18
1,0,0,59.3,0.24113871,0.653594771,1.960784314,0,18
1,0,1.495726496,53.2,0.223569216,0.213675214,1.923076923,0,18
1,0,1.567398119,50.6,0.351773422,0.313479624,2.821316614,0,18
1,0,1.038062284,48.6,0.963246826,0.346020761,0.519031142,1,17
1,0,0,52,0.063637312,1.886792453,1.886792453,1,17
1,0,2,51.8,0.1584684,0,1.333333333,0,17
1,1,0.708215297,52.4,0.274233698,0.141643059,0.141643059,1,17
1,0,2.896995708,51.7,0.16345649,0,1.502145923,1,17
1,0,2.941176471,49,0.206693514,0.980392157,1.960784314,0,17
1,0,0.854700855,50.5,0.207858047,0.854700855,0,0,16
1,0,0,44.3,0.389200595,0,0,0,16
1,0,3.525641026,50.7,0.151039044,0,2.243589744,0,16
1,0,0.63559322,55,0.293255016,0.211864407,1.483050847,0,16
1,0,2.105263158,51.8,0.45941601,1.052631579,1.052631579,0,16
1,1,1.015228426,55.6,0.230362049,0.338409475,0.676818951,1,16
1,1,2.631578947,44.5,0.16024011,0,2.105263158,0,16
1,0,3.571428571,58.5,0.090042288,0,0.595238095,0,16
1,0,2.116402116,51.3,0.299505276,0,0.881834215,0,15
1,1,1.771117166,55.2,0.227884246,0.272479564,0.408719346,0,15
1,0,1.351351351,53.8,0.300669918,0.900900901,1.351351351,1,14
1,0,2.369668246,51.3,0.240240591,0.947867299,1.421800948,1,14
1,0,3.012048193,53,0.235901106,0.602409639,1.807228916,0,14
1,0,1.960784314,45.4,0.512981001,0.653594771,1.307189542,0,14
1,0,0.925925926,48,0.214921782,0.925925926,0.925925926,1,14
1,0,3.083700441,47.8,0.161509252,0.881057269,2.202643172,1,14
1,1,1.320132013,50,0.100575093,0.330033003,0.660066007,1,14
1,0,0.458715596,50.8,0.24945195,0.458715596,1.376146789,1,14
1,1,0.447761194,54.3,0.202071665,0.149253731,0.447761194,1,14
1,0,3.448275862,49,0.117114557,1.724137931,1.724137931,0,14
1,1,1.041666667,61,0.170420544,0.520833333,0.78125,0,13
1,0,0.966183575,52.8,0.203205173,0.483091787,0.966183575,1,13
1,1,0.917431193,44.3,0.069432782,0.917431193,0.917431193,1,13
