ID linked to 4745 data,NewSecId,HomogeneousSectionID,LEN_Gz,LEN_YR,Constant,AADT,MCV,ArtVeh,SP,HSP,MSP,LSP,M_Curve,S_Curve,VS_Curve,Curve,Curve50,L_Ter,Roll_Ter,Mt_Ter,Nlanes,Lwidth,F_W,FW_RS,FW_US,Median,ATLM,M,US,RS,G_NG,Headon,RSMS,RSHS,RSLS,Length,C50RT,LW_RS,LW_US,RD,SW
3225,5000,5000,1.7,17,1,537,14,33,100,1,0,0,1,1,0,1,1,1,0,1,2,3.1,8.5,8.5,0,0,0,0,0,1,G,0,0,1,0,1.7,0,3.1,0,0,1.05
329,742,742,8,80,1,590,5,10,100,1,0,0,1,1,0,1,0,1,1,0,2,3.3,8.9,8.9,0,0,0,0,0,1,G,0,0,1,0,8,0,3.3,0,0,0.44
2552,4538,4538,0.8,8,1,1313,156,74,80,0,1,0,0,0,0,0,0,1,0,0,2,3.5,9.1,0,9.1,0,0,0,1,0,G,0,0,0,0,0.8,0,0,3.5,0,1.05
3104,4903.09,4903,10,100,1,1584,330,106,110,1,0,0,0,0,0,0,0,1,1,0,2,3.4,9.8,9.8,0,0,0.006938377,0,0,1,G,0,0,1,0,119.85,0,3.4,0,0,1.22
2475,4482,4482,1.1,11,1,13176,313,368,90,0,1,0,0,0,0,0,1,1,1,0,4,3.5,20,0,0,0,0,0,0,0,G,0,0,0,0,1.1,1,0,0,1,2.21
260,595,595,4,40,1,5905,50,121,100,1,0,0,1,0,0,1,0,1,1,0,2,3.4,8.8,8.8,0,0,0,0,0,1,G,0,0,1,0,4,0,3.4,0,0,0.9
4254,5578.08,5578,10,100,1,213,14,13,100,1,0,0,1,0,0,1,0,1,1,0,2,3.3,9.2,9.2,0,0,0,0,0,1,G,0,0,1,0,145.9,0,3.3,0,0,0.58
551,1111,1111,0.7,7,1,1445,13,38,80,0,1,0,1,0,0,1,0,1,0,0,2,3.5,9.7,0,9.7,0,0,0,1,0,G,0,0,0,0,0.7,0,0,3.5,0,1.29
1712,4037.06,4037,10,100,1,2525,145,134,100,1,0,0,0,0,0,0,0,1,1,0,2,3.4,10.4,10.4,0,0,0.251442295,0,0,1,G,0,0,1,0,67.8,0,3.4,0,0,1.64
1107,2861,2861,6,60,1,144,2,8,100,1,0,0,1,1,0,1,0,1,0,0,1,3.6,7.5,7.5,0,0,0,0,0,1,G,0,0,1,0,6,0,3.6,0,0,0.03
1614,3971.03,3971,2.6,26,1,9900,540,605,100,1,0,0,0,0,0,0,0,1,1,0,2,3.4,10.7,10.7,0,0,0.262127241,0,0,1,G,0,0,1,0,22.6,0,3.4,0,0,1.73
3934,5413.04,5413,9.49,94.9,1,713,26,25,100,1,0,0,1,0,0,1,0,1,0,0,2,3.1,8.8,8.8,0,0,0,0,0,1,G,0,0,1,0,39.49,0,3.1,0,0,0.1
2410,4427,4427,1.05,10.5,1,2128,403,148,60,0,1,0,0,0,0,0,0,1,0,0,2,3.7,10.2,0,10.2,0,0,0,1,0,G,0,0,0,0,1.05,0,0,3.7,0,1.24
4576,5647.13,5647,0.2,2,1,230,23,39,100,1,0,0,1,0,0,1,0,1,1,0,2,3.5,8.5,8.5,0,0,0,0,0,1,G,0,0,1,0,120.2,0,3.5,0,0,0.46
2640,4606,4606,0.6,6,1,6498,24,60,80,0,1,0,0,0,0,0,1,1,0,1,2,3.5,9,0,9,0,0,0,1,0,G,0,0,0,0,0.6,0,0,3.5,0,1
2797,4736.18,4736,10,100,1,202,35,16,100,1,0,0,1,0,0,1,0,1,0,0,2,3.4,8.8,8.8,0,0,0,0,0,1,G,0,0,1,0,193.4,0,3.4,0,0,0.33
1074,2418,2418,0.6,6,1,6174,98,180,70,0,1,0,0,0,0,0,0,0,1,0,2,3.4,10.9,0,10.9,0,0,0,1,0,G,0,0,0,0,0.6,0,0,3.4,0,2.07
4586,5650,5650,2,20,1,203,13,76,100,1,0,0,0,0,0,0,0,1,1,0,2,2.8,7.9,7.9,0,0,0,0,0,1,G,0,0,1,0,2,0,2.8,0,0,0.08
425,953,953,1,10,1,514,8,25,60,0,1,0,1,0,0,1,0,1,0,0,2,3,8.4,0,8.4,0,0,0,1,0,G,0,0,0,0,1,0,0,3,0,1.2
111,392,392,0.6,6,1,3325,47,83,60,0,1,0,0,0,0,0,0,1,0,0,2,3.4,10.5,0,10.5,0,0,0,1,0,G,0,0,0,0,0.6,0,0,3.4,0,0.18
4383,5611.02,5611,10,100,1,72,2,5,80,0,1,0,1,0,0,1,0,1,0,0,2,3.1,9.3,9.3,0,0,0,0,0,1,G,0,1,0,0,24.28,0,3.1,0,0,0.15
2915,4795,4795,1.5,15,1,10189,220,331,100,1,0,0,0,0,0,0,1,1,1,0,2,3.5,10.1,10.1,0,0,0,0,0,1,G,0,0,1,0,1.5,1,3.5,0,0,1.5
4709,5719.27,5719,10,100,1,81,8,6,110,1,0,0,1,1,0,1,0,1,1,0,1,3.7,7.5,7.5,0,0,0,0,0,1,G,0,0,1,0,355.305,0,3.7,0,0,0.21
4225,5569,5569,4.6,46,1,145,7,7,100,1,0,0,1,0,0,1,0,1,1,0,2,3.5,9.1,9.1,0,0,0,0,0,1,G,0,0,1,0,4.6,0,3.5,0,0,0.8
1843,4127,4127,1.2,1.2,1,7479,342,348,100,1,0,0,0,0,0,0,0,1,0,0,2,3.5,11,11,0,0,0,0,0,1,G,0,0,1,0,1.2,0,3.5,0,0,2
4233,5574.05,5574,10,100,1,161,12,12,110,1,0,0,1,0,0,1,0,1,1,0,2,3.3,8.4,8.4,0,0,0,0,0,1,G,0,0,1,0,146.3,0,3.3,0,0,0.86
1940,4211.01,4211,10,100,1,6945,92,213,100,1,0,0,0,0,0,0,0,1,1,1,2,3.4,10,10,0,0,0.074442935,0,0,1,G,0,0,1,0,14.1,0,3.4,0,0,1.61
4508,5633.1,5633,10,100,1,110,5,6,100,1,0,0,1,0,0,1,0,1,1,0,1,3.8,7.5,7.5,0,0,0,0,0,1,G,0,0,1,0,175.9,0,3.8,0,0,0.27
1927,4200,4200,1,10,1,11724,118,214,60,0,1,0,0,1,0,1,0,1,0,0,2,3.6,10,0,10,0,0,0,1,0,G,0,0,0,0,1,0,0,3.6,0,1.45
2592,4558,4558,1.171,11.71,1,10889,43,226,80,0,1,0,0,0,0,0,0,1,0,0,2,3.5,9.6,0,9.6,0,0,0,1,0,G,0,0,0,0,1.171,0,0,3.5,0,1.41
2923,4803,4803,1.387610619,13.87610619,1,4116,89,134,60,0,1,0,0,0,0,0,0,1,0,0,2,3.4,9.4,0,9.4,0,0,0,1,0,G,0,0,0,0,1.6,0,0,3.4,0,1.72
3751,5347.02,5347,10,100,1,37,8,4,100,1,0,0,1,0,0,1,0,1,0,0,1,3.7,5.9,5.9,0,0,0,0,0,1,G,0,0,1,0,58.6,0,3.7,0,0,0.07
658,1285.04,1285,10,100,1,57,4,3,100,1,0,0,1,0,0,1,0,1,0,0,1,5,7.8,7.8,0,0,0,0,0,1,G,0,0,1,0,51.5,0,5,0,0,0.67
1658,3998.1,3998,6.1,61,1,3444,252,226,100,1,0,0,1,0,0,1,1,1,1,1,2,3.4,10.3,10.3,0,0,0.375814717,0,0,1,G,0,0,1,0,96.1,1,3.4,0,0,1.64
590,1220.03,1220,10,100,1,591,31,28,100,1,0,0,1,0,0,1,0,1,1,0,2,3.1,8.7,8.7,0,0,0,0,0,1,G,0,0,1,0,136.6,0,3.1,0,0,0.45
582,1211,1211,1,10,1,452,21,22,60,0,1,0,0,0,0,0,0,1,0,0,2,3.4,9.3,0,9.3,0,0,0,1,0,G,0,0,0,0,1,0,0,3.4,0,0.2
4255,5578.09,5578,10,100,1,213,14,13,100,1,0,0,1,0,0,1,0,1,1,0,2,3.3,9.2,9.2,0,0,0,0,0,1,G,0,0,1,0,145.9,0,3.3,0,0,0.58
3632,5309,5309,1.4,14,1,1311,56,61,100,1,0,0,1,0,0,1,0,1,0,0,2,3.5,9.1,9.1,0,0,0.459183673,0,0,1,G,0,0,1,0,1.4,0,3.5,0,0,0.58
4293,5588.1,5588,10,100,1,139,17,8,100,1,0,0,0,0,0,0,0,1,1,0,2,3.1,8,8,0,0,0,0,0,1,G,0,0,1,0,206.7,0,3.1,0,0,0.16
331,744.01,744,10,100,1,590,5,10,100,1,0,0,1,1,0,1,1,1,1,1,2,3.4,9.1,9.1,0,0,0,0,0,1,G,0,0,1,0,13.79,1,3.4,0,0,0.03
270,632,632,2.1,21,1,7960,118,168,80,0,1,0,1,0,0,1,1,1,1,0,2,3.3,9.5,0,9.5,0,0,0,1,0,G,0,0,0,0,2.1,1,0,3.3,0,1.48
