HOMID,PERIOD,AADT,LAADT,AADT_ART,LNART,AADT_MCV,LNMCV,LNAADTAR,LNAADTMC,NLANES,LWIDTH,M,US,UD,RS,RD,SP,HSP,MSP,LSP,USHSP,USMSP,RSHSP,RSMSP,CURV_ST,CURV_MOD,CURV_SHP,CURV_VSH,CURVE50,L_TER,ROLL_TER,MT_TER,SSW_PS,SW_PS,SSW_DS,SW_DS,WCLP,WCLW,FW,MED50,ATLM_PS,ATLM_DS,ATLM_PD,ROP_C,ROP_M,ROP_W,ROP_NO,ROP_O,ROP,ROD_C,ROD_M,ROD_W,ROD_NO,ROD_O,ROD,HEADON_A,REAR_ART,SINGLE_A,INT_ART,SIDESW_A,MERGE_AR,OVER_ART,SHDR_ART,OBJ_ART,SVTURN_A,PED_ART,BIC_ART,MISC_ART,HEADON_M,REAR_MCV,SINGLE_M,INT_MCV,SIDESW_M,MERGE_MC,OVER_MCV,SHDR_MCV,OBJ_MCV,SVTURN_M,PED_MCV,BIC_MCV,MISC_MCV,NewSecId,LENGTH_G,LNLENGZ,LNLENP,HEADON,REAR,SINGLE,INT,SIDESW,MERGE,OVER,SHDR,OBJ,SVTURN,PED,BIC,MISC,CRASHTOT,LNHV,ART,MCV,LNHVAADT
5,5,30411.4,10.32257282,262.1,5.56872611,23.2,3.144152279,15.89129893,13.4667251,4,3.390186916,0,0,1,0,0,80,0,1,0,0,0,0,0,0.560747664,0.439252336,0,0,0,1,0,0,1.485981308,1.485981308,0.828971963,0.828971963,0,0,18.2,0,0,0,0,0.093457944,0.271028037,0,0,0.635514019,1,0.093457944,0.177570093,0,0.280373832,0.448598131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.59,6.380122537,7.989560449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.653541258,0,0,15.97611408
10,5,16739,9.725496605,66.3,4.194189897,5,1.609437912,13.9196865,11.33493452,4,3.5,0,0,1,0,0,60,0,1,0,0,0,0,0,0.6875,0.1875,0.0625,0,0,1,0,0,1.40625,1.40625,0,0,0,0,16.8,1,0,0,0,0,0.0625,0,0,0.875,1,0,0,0.1875,0,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.8,6.684611728,8.29404964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.266896327,0,0,13.99239293
11,5,16739,9.725496605,66.3,4.194189897,5,1.609437912,13.9196865,11.33493452,4,3.5,0,0,1,0,0,70,0,1,0,0,0,0,0,0.958333333,0.041666667,0,0,0,1,0,0,1.083333333,1.083333333,0,0,0,0,16.2,1,0,0,0,0,0.125,0,0.041666667,0.833333333,1,0,0,0.041666667,0,0.958333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.2,7.090076836,8.699514748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.266896327,0,0,13.99239293
12,5,16739,9.725496605,66.3,4.194189897,5,1.609437912,13.9196865,11.33493452,4,3.5,0,0,1,0,0,70,0,1,0,0,0,0,0,1,0,0,0,0,0.625,0.375,0,1.3125,1.3125,0,0,0,0,16.6,1,0,0,0,0,0.0625,0,0,0.9375,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.8,6.684611728,8.29404964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.266896327,0,0,13.99239293
32,5,20706.5,9.93820294,123.8,4.81866736,20.8,3.034952987,14.7568703,12.97315593,2,3.374630542,0,1,0,0,0,60,0,1,0,0,1,0,0,0.295566502,0.103448276,0,0,0,1,0,0,1.279310345,1.279310345,1.024137931,1.024137931,0,0,9.05270936,0,0,0,0,0,0,0,0,0.399014778,0,0,0,0,0.0591133,0.339901478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.7,6.551080335,8.160518247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97397131,0,0,14.91217425
33,5,20706.5,9.93820294,123.8,4.81866736,20.8,3.034952987,14.7568703,12.97315593,4,3.575,0,0,1,0,0,80,0,1,0,0,0,0,0,0.75,0.25,0,0,0,1,0,0,1.166666667,1.166666667,0,0,0,0,16.6,1,0,0,0,0,0.25,0,0,0.75,1,0,0,0,0.25,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0.4,5.991464547,7.60090246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97397131,0,0,14.91217425
45,5,31361.2,10.35332674,167.4,5.120386158,21.2,3.054001182,15.4737129,13.40732792,4,3.483673469,0,0,1,0,0,70,0,1,0,0,0,0,0,0.602040816,0.397959184,0,0,0,0.693877551,0.306122449,0,2.663265306,2.859183673,0.052040816,0.073469388,0,0,19.8,1,0,0,0,0,0.010204082,0,0.010204082,0.979591837,1,0,0.010204082,0,0.163265306,0.826530612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2.9,7.972466016,9.581903928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23962837,0,0,15.59295511
46,5,33259.5,10.41209572,204.2,5.319099906,29.9,3.39785848,15.73119563,13.8099542,4,3.5,0,0,1,0,0,80,0,1,0,0,0,0,0,0.357142857,0.642857143,0,0,1,0,1,0,2,2,0,0,0,0,18,1,0,0,0,0,0,0,0,1,1,0,0.142857143,0,0,0.857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0.7,6.551080335,8.160518247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.455748374,0,0,15.86784409
47,5,30723.6,10.33278637,182.3,5.205653682,24.4,3.194583132,15.53844005,13.5273695,4,3.5,0,0,1,0,0,70,0,1,0,0,0,0,0,0.388888889,0.611111111,0,0,1,0.666666667,0.333333333,0,1.888888889,1.888888889,0,0,0,0,17.8,1,0,0,0,0,0.055555556,0,0,0.944444444,1,0,0,0,0.333333333,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0.9,6.802394763,8.411832676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.331268467,0,0,15.66405483
48,5,27081.9,10.20662089,150.9,5.016617366,16.5,2.803360381,15.22323825,13.00998127,4,3.525316456,0,0,1,0,0,60,0,1,0,0,0,0,0,0.620253165,0.379746835,0,0,0,1,0,0,1.96835443,1.96835443,0,0,0,0,18,1,0,0,0,0,0,0,0,1,1,0.063291139,0,0,0.632911392,0.303797468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.5,6.214608098,7.824046011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.120386158,0,0,15.32700705
