zonal_ID,weather_station,county,DP01,DP10,DSND,DSNW,DX32,PRCP,SNOW,TAVG,TMAX,TMIN,max_prcp,max_snow,year,month,dummy_winter,dummy_winter_2,crashes,inj.fat,PDO,orig_ID,segment_length,curve,speed,jurisdiction,left_shoulder_width,right_shoulder_width,paved_shoulder,num_lanes,rumble_install_year,FAADT,town,element_ID,maint_region,ANNUAL_ADT,monthly_AADT,ln_AADT,ln_seg
1,Androscoggin,Androscoggin,11,10,31,8,22,5.59,24,17.9,26.6,9.1,1.55,5.8,2019,1,0,0,0,0,0,5078727,0.078,0,65,Toll hwy,4,10,14,2,0,5880,Auburn,124933,Southern,5880,4778,8.471777,-2.551046
1,Androscoggin,Androscoggin,11,5,28,5,19,2.61,16.9,20.2,28.6,11.9,1.08,8.3,2019,2,0,0,0,0,0,5078727,0.078,0,65,Toll hwy,4,10,14,2,0,5880,Auburn,124933,Southern,5880,4748,8.465479,-2.551046
1,Androscoggin,Androscoggin,9,3,31,2,11,1.93,10.3,27.6,36.4,18.7,0.87,4.2,2019,3,0,0,0,0,0,5078727,0.078,0,65,Toll hwy,4,10,14,2,0,5880,Auburn,124933,Southern,5880,5072,8.53149,-2.551046
1,Androscoggin,Androscoggin,18,12,6,2,3,4.82,6.1,41.4,50.3,32.6,2.03,3.2,2019,4,0,0,0,0,0,5078727,0.078,0,65,Toll hwy,4,10,14,2,0,5880,Auburn,124933,Southern,5880,5457,8.604654,-2.551046
1,Androscoggin,Androscoggin,12,6,5,1,7,3.77,2.1,32,39.6,24.4,1.15,1.8,2019,11,1,0,0,0,0,5078727,0.078,0,65,Toll hwy,4,10,14,2,0,5880,Auburn,124933,Southern,5880,5762,8.65904,-2.551046
1,Androscoggin,Androscoggin,11,7,16,5,19,4.43,20,25.6,32.8,18.3,1.89,7.4,2019,12,0,1,0,0,0,5078727,0.078,0,65,Toll hwy,4,10,14,2,0,5880,Auburn,124933,Southern,5880,5233,8.56274,-2.551046
1,Androscoggin,Androscoggin,11,10,31,8,22,5.59,24,17.9,26.6,9.1,1.55,5.8,2019,1,0,0,0,0,0,5078727,0.169,1,65,Toll hwy,4,10,14,2,0,5880,Auburn,124934,Southern,5880,4778,8.471777,-1.777857
1,Androscoggin,Androscoggin,11,5,28,5,19,2.61,16.9,20.2,28.6,11.9,1.08,8.3,2019,2,0,0,1,1,0,5078727,0.169,1,65,Toll hwy,4,10,14,2,0,5880,Auburn,124934,Southern,5880,4748,8.465479,-1.777857
1,Androscoggin,Androscoggin,9,3,31,2,11,1.93,10.3,27.6,36.4,18.7,0.87,4.2,2019,3,0,0,0,0,0,5078727,0.169,1,65,Toll hwy,4,10,14,2,0,5880,Auburn,124934,Southern,5880,5072,8.53149,-1.777857
1,Androscoggin,Androscoggin,18,12,6,2,3,4.82,6.1,41.4,50.3,32.6,2.03,3.2,2019,4,0,0,0,0,0,5078727,0.169,1,65,Toll hwy,4,10,14,2,0,5880,Auburn,124934,Southern,5880,5457,8.604654,-1.777857
1,Androscoggin,Androscoggin,12,6,5,1,7,3.77,2.1,32,39.6,24.4,1.15,1.8,2019,11,1,0,0,0,0,5078727,0.169,1,65,Toll hwy,4,10,14,2,0,5880,Auburn,124934,Southern,5880,5762,8.65904,-1.777857
