iteration,incumbent_aic,incumbent_bic,incumbent_MAE,incumbent_MSE,incumbent_MAE_TEST,incumbent_MSE_TEST,incumbent_MAE_VAL,incumbent_MSE_VAL,incumbent_RMSE_VAL,incumbent_RMSE_TEST,incumbent_RMSE,incumbent_sol_num,incumbent_num_parm,incumbent_pval_exceed,incumbent_pval_percentage,incumbent_loglik,incumbent_simple,incumbent_CAIC,incumbent_DIC,incumbent_HQIC,incumbent_AICc,best_aic,best_bic,best_MAE,best_MSE,best_MAE_TEST,best_MSE_TEST,best_MAE_VAL,best_MSE_VAL,best_RMSE_VAL,best_RMSE_TEST,best_RMSE,best_sol_num,best_num_parm,best_pval_exceed,best_pval_percentage,best_loglik,best_CAIC,best_DIC,best_HQIC,best_AICc
2,10995.862240924893,11545.405019584327,0.10894946649995373,0.06896135816967232,0.11415410491246111,0.0788890049590156,10000000.0,10000000.0,10000000.0,0.28087186573064876,0.2626049469634423,23,23,22,0.9565217391304348,-5474.931120462446,f_nb,11105.43159382183,11032.362899292842,11037.787863686552,10997.174963873764,33398.5324519557,33945.45572938633,0.5682748062889045,0.5466288162235892,0.5719828763542112,0.5540474122750625,10000000.0,10000000.0,10000000.0,0.6602920722599095,0.6505433842229468,11.6,22.45,22.0,0.9804347826086957,-16676.816225977855,33505.48166815293,33434.16026849313,33439.45550547742,33399.78422241334
7,10995.86224052003,11545.405019179463,0.10894950352768881,0.06896130793579344,0.1141541946442388,0.07888895885673168,10000000.0,10000000.0,10000000.0,0.2808717836606797,0.2626048513180848,28,23,22,0.9565217391304348,-5474.931120260015,f_nb,11105.431593416966,11032.36289888798,11037.787863281688,10997.1749634689,33398.5324519477,33945.45572937832,0.568274806426703,0.5466288126994854,0.5719828779128548,0.5540474058702347,10000000.0,10000000.0,10000000.0,0.6602920608582212,0.6505433775130499,12.0,22.45,22.0,0.9804347826086957,-16676.81622597385,33505.48166814492,33434.160268485124,33439.45550546941,33399.78422240533
14,10995.862238318776,11545.40501697821,0.10894951907839796,0.06896129201079981,0.11415413529495791,0.0788888922698786,10000000.0,10000000.0,10000000.0,0.2808716651246234,0.2626048209968732,35,23,22,0.9565217391304348,-5474.931119159388,f_nb,11105.431591215713,11032.362896686725,11037.787861080435,10997.174961267647,31392.874137044255,31940.035550950233,0.5271267502235852,0.5044031032789326,0.5309396912502362,0.5119945704821868,10000000.0,10000000.0,10000000.0,0.6263787467994978,0.6158856629563327,13.6,22.5,22.0,0.9782608695652174,-15673.937068522127,31500.061547486916,31428.581302839,31433.88833322415,31394.13144863746
15,50556.86503851847,51101.64508767097,0.9217153766269017,0.8925024745877512,0.9239365217933263,0.8975010073739547,10000000.0,10000000.0,10000000.0,0.9473652977463101,0.9447234910743731,36,22,22,1.0,-25256.432519259233,f_p,50661.67050650684,50591.778711739986,50596.96780811658,50558.066938756,31351.337758517584,31898.49917242356,0.5263464423086892,0.5028337421370772,0.5301605316467195,0.5104332416819327,10000000.0,10000000.0,10000000.0,0.6255617550365931,0.6150622469628758,15.05,22.5,22.0,0.9782608695652174,-15653.168879258792,31458.525168960245,31387.04492431233,31392.351954697475,31352.595070110787
16,50976.214240472036,51520.99428962454,0.9300952919357761,0.9085567590696254,0.932722167974302,0.9144969549885017,10000000.0,10000000.0,10000000.0,0.9562933414954334,0.9531824374534108,37,22,22,1.0,-25466.107120236018,f_p,51081.01970846041,51011.127913693555,51016.317010070146,50977.41614070957,31311.28861571398,31858.45002961995,0.5256330390994808,0.5013338018176856,0.5294762935002713,0.5090115398056418,10000000.0,10000000.0,10000000.0,0.6248241051606177,0.6142818300924531,16.15,22.5,22.0,0.9782608695652174,-15633.14430785699,31418.476026156637,31346.99578150872,31352.302811893867,31312.54592730718
17,51148.62474671945,51693.40479587195,0.9328805777203347,0.9149703795379246,0.9357579750306471,0.921313881852067,10000000.0,10000000.0,10000000.0,0.9598509685633843,0.9565408404965909,38,22,22,1.0,-25552.312373359724,f_p,51253.43021470782,51183.53841994097,51188.72751631756,51149.82664695698,31247.372746262503,31794.53416016848,0.5244263095035671,0.49889522031562955,0.5283339681267826,0.5067125357155338,10000000.0,10000000.0,10000000.0,0.6236411016433784,0.613023690810216,17.65,22.5,22.0,0.9782608695652174,-15601.186373131251,31354.56015670516,31283.079912057245,31288.38694244239,31248.630057855706
18,50061.891316404624,50606.67136555713,0.912691380978751,0.8742182465679078,0.9152549822061443,0.8799372507260711,10000000.0,10000000.0,10000000.0,0.9380497058930678,0.9349963885320134,39,22,22,1.0,-25008.945658202312,f_p,50166.696784392996,50096.804989626144,50101.994086002735,50063.093216642155,31117.439349722572,31664.60076362855,0.5219722072943392,0.4939589879001646,0.5258155260633032,0.5016737118369397,10000000.0,10000000.0,10000000.0,0.6210280911741309,0.6104545763757424,18.7,22.5,22.0,0.9782608695652174,-15536.219674861286,31224.62676016523,31153.146515517314,31158.45354590246,31118.69666131578
19,50698.19848226818,51242.97853142068,0.9245861015148427,0.8978513555857007,0.9279677608637918,0.9052434238067492,10000000.0,10000000.0,10000000.0,0.9514428116322857,0.9475501863150578,40,22,22,1.0,-25327.09924113409,f_p,50803.00395025655,50733.112155489696,50738.30125186629,50699.40038250571,30989.97665922368,31537.13807312966,0.5195344556023325,0.489055360814453,0.523444722365929,0.49691658955623563,10000000.0,10000000.0,10000000.0,0.61859058595064,0.6079340923125043,20.2,22.5,22.0,0.9782608695652174,-15472.48832961184,31097.16406966634,31025.683825018426,31030.990855403572,30991.233970816887
20,50473.77123601715,51018.551285169655,0.9201778129185396,0.8897608816187451,0.9234833675270354,0.8970239482994724,10000000.0,10000000.0,10000000.0,0.9471134822709856,0.9432713722035377,41,22,22,1.0,-25214.885618008575,f_p,50578.57670400552,50508.68490923867,50513.87400561526,50474.97313625468,30816.633425613698,31363.794839519676,0.516173078115325,0.48237345470004894,0.5202069977271423,0.4904886410657271,10000000.0,10000000.0,10000000.0,0.6153107261450718,0.6045160683245129,21.6,22.5,22.0,0.9782608695652174,-15385.816712806849,30923.820836056355,30852.34059140844,30857.647621793585,30817.8907372069
26,10995.862243466327,11545.40502212576,0.10894958591570983,0.06896121686208237,0.11415433458383596,0.07888885737399555,10000000.0,10000000.0,10000000.0,0.28087160300392694,0.2626046779135558,48,23,22,0.9565217391304348,-5474.931121733163,f_nb,11105.431596363263,11032.362901834276,11037.787866227985,10997.174966415198,30816.63342576102,31363.79483966699,0.5161730822347259,0.48237345014636335,0.5202070047241222,0.4904886359915904,10000000.0,10000000.0,10000000.0,0.6153107171122342,0.6045160596542865,22.6,22.5,22.0,0.9782608695652174,-15385.81671288051,30923.820836203675,30852.340591555752,30857.647621940898,30817.89073735422
