Parameter,Estimate,Std.Err,z,p-value
alpha0,-5.399893694910499,1.0044545947815327,-5.375946033762699,7.618160924316442e-08
alpha[WIDTH_PER_LANE],-0.027754914070772633,0.034298715647110255,-0.8092114689172347,0.4183935190733177
alpha[CURVES],0.10650263515675819,0.021851204004547084,4.873993905992353,1.0936436465325272e-06
alpha[TANGENT],0.07084804899455821,0.040885649587992956,1.7328341290525668,0.08312515486251049
alpha[INTECHAG],0.3605400957899009,0.0641526353695702,5.6200356183795614,1.9091809466686982e-08
alpha[MXGRDIFF],0.08302706701319928,0.02826041037322226,2.937928569213927,0.003304131421382195
alpha[SHOULDER_WIDTH],-2.6483438878819996,2.2832990787951344,-1.1598760374744663,0.24609928017830685
log_beta0,-0.2921610917422326,0.10635695171733693,-2.7469863231761678,0.006014564254948063
beta[SLOPE_FLAT],-0.3430633145039201,0.18774273209265127,-1.8273054337710282,0.06765385869983365
log_theta,-0.5722621775987127,0.10116295164246239,-5.656835514460314,1.5418940124689584e-08
