Parameter,Estimate,Std.Err,z,p-value
alpha0,-5.810837772412659,1.0989310613425618,-5.287718198913743,1.23851581657064e-07
alpha[WIDTH_PER_LANE],-0.011482285195265545,0.03986111143947829,-0.28805732656750593,0.773302857178287
sigma_alpha[WIDTH_PER_LANE],-0.003660139602094675,0.13115092010489998,-0.027907845398012783,0.9777356511591415
alpha[CURVES],0.11897247043360451,0.025113865194623754,4.737322172895693,2.16560741117533e-06
sigma_alpha[CURVES],0.0768283046269247,0.08086620833272057,0.9500668599524034,0.3420782809430427
alpha[TANGENT],0.07044736948406966,0.03959740159295255,1.779090714290902,0.07522489082247219
sigma_alpha[TANGENT],-0.014115897113486294,0.3466206967765222,-0.04072433424997492,0.9675156617587077
alpha[INTECHAG],0.33665022403872197,0.06425439065388047,5.239334162425691,1.611569928616774e-07
sigma_alpha[INTECHAG],-0.012197829290065486,0.0899408191976681,-0.13562061585471683,0.8921212069382096
alpha[MXGRDIFF],0.07747821217786853,0.027412286087081638,2.826404624982411,0.0047073759979074925
sigma_alpha[MXGRDIFF],0.006099523254823779,0.11609783084959674,0.052537788261743094,0.9581001862183727
alpha[SHOULDER_WIDTH],1.0555769869523384,3.388376041515534,0.3115288781466551,0.7553985927538898
sigma_alpha[SHOULDER_WIDTH],0.2877360000411584,0.09336157574033642,3.0819531242856204,0.002056472189990277
log_beta0,-0.30666751446460083,0.11956227543666145,-2.5649186864719637,0.010319998675912823
beta[SLOPE_FLAT],-0.3642260418546094,0.20357831011855732,-1.7891200769006095,0.07359547946857359
sigma_beta[SLOPE_FLAT],-0.06565675867221239,0.20493987466680158,-0.3203708345140713,0.7486872320367297
log_theta,-0.7123618051528449,0.11959644999401725,-5.956379183399511,2.5788760016354217e-09
