Parameter,Estimate,Std.Err,z,p-value
alpha0,-5.3996259944421645,1.0047036708283734,-5.374346836008073,7.686078484780978e-08
alpha[WIDTH_PER_LANE],-0.027756666750514462,0.03429905352999968,-0.809254597251119,0.4183687161932985
alpha[CURVES],0.1065055782059935,0.021852409759512817,4.873859651090854,1.0943875254909585e-06
alpha[TANGENT],0.07083811123618852,0.04088844688909957,1.7324725350493375,0.08318946304757757
alpha[INTECHAG],0.36053849893893103,0.06415260707867615,5.620013205336613,1.909428637425492e-08
alpha[MXGRDIFF],0.08302313201940081,0.02826133596922219,2.9376931122370356,0.003306641641901198
alpha[SHOULDER_WIDTH],-2.648776867258299,2.28356342899262,-1.1599313746352957,0.24607674753632436
log_beta0,-0.2921882398345943,0.10639167286690392,-2.746345009539629,0.0060263352828278105
beta[SLOPE_FLAT],-0.343071215806783,0.18774401625140474,-1.8273350206132926,0.0676494127711027
sigma_beta[SLOPE_FLAT],-0.002753183751760654,0.18178952581420005,-0.015144897592034951,0.9879165819628903
log_theta,-0.5722713377549208,0.10116790711332543,-5.6566489718313395,1.5435700495558535e-08
