Parameter,Estimate,Std.Err,z,p-value
alpha0,-4.305482922730217,0.7961095035734163,-5.408154158950033,6.367760474468298e-08
alpha[WIDTH_PER_LANE],-0.028948046160448236,0.03477019005401623,-0.8325535786683027,0.40509654895303693
alpha[CURVES],0.11388810258485127,0.022009324788693746,5.174538686591418,2.2847476888188112e-07
alpha[TANGENT],0.07428754169661327,0.04229776013936288,1.7562996587017916,0.07903725553264018
alpha[INTECHAG],0.3614707409249879,0.06476499047556682,5.581267568646614,2.387719866270288e-08
alpha[MXGRDIFF],0.0897573756447069,0.02839882418536645,3.1606018284009703,0.001574435614198011
alpha[SHOULDER_WIDTH],-2.9605522606543904,2.2848999800555534,-1.2957032196141949,0.1950777517204325
beta0,0.6479584897241015,0.06175741871704516,10.491994373872103,0.0
beta[SLOPE_FLAT],-0.014377837223502552,0.010332976916485407,-1.391451596157532,0.16408852789711137
log_theta,-0.5581266297695167,0.10019859676382813,-5.570204052707866,2.54441165914443e-08
