FSI,US,RSHS,RSMS,Offset,LNAADT,LNMCV,Curve50,Constant
1,1,0,0,0.848,0.8,0.5,0,1
1,1,0,0,0.884,0.9,0.5,1,1
1,1,0,0,1.007,0.9,0.5,0,1
1,0,1,0,1.151,0.8,0.5,0,1
1,0,1,0,1.151,0.7,0.5,0,1
1,0,1,0,1.151,0.6,0.3,0,1
1,0,1,0,0.956,0.9,0.5,0,1
1,1,0,0,0.887,0.8,0.6,0,1
1,0,1,0,0.985,0.9,0.6,0,1
1,0,1,0,1.151,0.9,0.6,0,1
1,0,1,0,1.151,0.9,0.6,0,1
1,0,1,0,1.145,0.9,0.6,0,1
1,0,1,0,1.071,0.9,0.6,0,1
2,0,1,0,1.151,0.9,0.6,0,1
1,0,1,0,1.151,0.8,0.6,0,1
1,0,1,0,1.151,0.8,0.6,0,1
3,0,1,0,1.151,0.9,0.6,0,1
1,0,1,0,1.151,0.9,0.6,0,1
1,0,1,0,1.151,0.9,0.6,0,1
1,0,1,0,1.151,0.9,0.6,0,1
1,0,1,0,1.124,0.9,0.6,0,1
1,0,1,0,0.995,0.8,0.6,0,1
1,0,1,0,1.126,0.8,0.5,0,1
1,0,1,0,1.151,0.8,0.5,0,1
1,0,1,0,1.151,0.8,0.6,0,1
1,0,1,0,1.144,0.8,0.6,0,1
1,0,1,0,1.151,0.9,0.6,1,1
1,0,1,0,1,0.9,0.6,0,1
1,0,0,1,0.985,1,0.6,0,1
2,0,1,0,1.151,0.9,0.6,0,1
1,0,1,0,1.151,0.8,0.6,0,1
1,0,1,0,1.15,0.8,0.6,1,1
2,0,1,0,1.151,0.8,0.6,0,1
1,0,1,0,1.151,0.8,0.5,0,1
1,0,1,0,1.151,0.9,0.6,0,1
1,0,1,0,1.151,0.8,0.6,0,1
1,0,1,0,1.151,0.8,0.6,0,1
1,0,1,0,1.151,0.8,0.6,0,1
2,0,1,0,1.039,0.9,0.5,0,1
1,0,1,0,1.131,0.9,0.5,0,1
1,0,1,0,1.151,0.6,0.4,0,1
1,0,1,0,1.151,0.8,0.5,0,1
1,0,1,0,1.151,0.7,0.5,0,1
1,0,1,0,1.057,0.7,0.5,0,1
1,0,1,0,1.151,0.8,0.5,0,1
1,0,1,0,1.151,0.7,0.4,0,1
1,0,1,0,1.151,0.7,0.4,0,1
2,0,1,0,1.131,0.9,0.6,0,1
1,0,0,1,0.995,0.9,0.6,1,1
1,0,1,0,1.151,0.8,0.6,0,1
1,0,0,0,1.028,1.1,0.7,0,1
1,0,0,0,1.151,1,0.7,0,1
2,0,1,0,1.141,0.9,0.6,1,1
3,0,1,0,1.151,0.9,0.6,0,1
1,0,1,0,1.093,0.9,0.6,1,1
1,0,1,0,1.151,0.8,0.6,0,1
1,0,1,0,1.151,0.8,0.6,0,1
1,0,1,0,1.088,0.8,0.6,0,1
1,0,1,0,1.049,0.6,0.5,0,1
1,0,1,0,1.151,0.7,0.4,0,1
1,1,0,0,1.02,0.9,0.4,0,1
1,0,1,0,1.151,0.8,0.5,0,1
2,0,1,0,1.146,0.8,0.5,0,1
1,0,1,0,1.151,0.6,0.4,0,1
1,0,1,0,1.151,0.7,0.5,0,1
1,0,1,0,1.151,0.7,0.5,0,1
1,0,1,0,1.151,0.8,0.6,0,1
1,0,1,0,0.885,0.8,0.6,0,1
1,0,1,0,1.057,0.9,0.4,0,1
2,0,1,0,1.151,0.8,0.5,0,1
1,1,0,0,0.91,0.8,0.6,0,1
1,0,1,0,1.151,0.8,0.6,0,1
1,0,1,0,1.151,0.8,0.6,0,1
2,0,1,0,0.99,0.9,0.6,0,1
1,1,0,0,0.895,0.9,0.6,0,1
1,0,1,0,0.99,0.8,0.5,0,1
1,1,0,0,0.962,0.8,0.5,0,1
1,0,1,0,1.125,0.8,0.5,0,1
1,0,1,0,0.98,0.7,0.4,1,1
1,0,1,0,1.107,0.7,0.3,0,1
1,0,1,0,1.148,0.9,0.5,0,1
1,0,1,0,1.151,0.8,0.5,0,1
1,0,1,0,1.151,0.8,0.5,0,1
1,0,1,0,1.151,0.7,0.4,0,1
1,0,1,0,1.151,0.4,0.3,0,1
1,0,1,0,1.151,0.5,0.3,0,1
1,0,1,0,1.151,0.6,0.4,0,1
1,0,1,0,1.151,0.5,0.3,0,1
0,0,0,0,0.91,1,0.3,1,1
0,0,0,0,0.852,1,0.3,0,1
0,0,0,0,0.885,1,0.5,1,1
0,0,0,0,0.921,1.1,0.5,0,1
0,1,0,0,0.931,1,0.5,0,1
0,1,0,0,0.962,1,0.5,1,1
0,1,0,0,0.76,0.9,0.4,0,1
0,1,0,0,0.899,1,0.5,0,1
0,0,0,0,0.98,1.1,0.2,0,1
0,0,0,0,0.947,1,0.2,0,1
0,0,0,0,0.91,1,0.2,0,1
0,0,0,0,0.899,1,0.3,0,1
0,0,0,0,0.885,1,0.1,1,1
0,0,0,0,0.931,1,0.5,1,1
0,1,0,0,0.89,1,0.4,1,1
0,0,0,0,0.885,1,0.4,1,1
0,1,0,0,0.881,1,0.4,0,1
0,0,0,0,0.921,1,0.3,0,1
0,0,0,0,0.899,1.1,0.1,1,1
0,0,1,0,1.069,1,0.5,0,1
0,0,0,0,0.899,1,0.4,0,1
0,0,0,0,0.917,1,0.5,0,1
0,0,0,0,0.962,1,0.5,0,1
0,0,0,0,0.98,1,0.2,0,1
0,1,0,0,0.87,0.9,0.4,0,1
0,1,0,0,0.91,0.9,0.3,0,1
0,1,0,0,0.921,0.8,0.4,1,1
0,0,1,0,1.004,0.8,0.4,0,1
0,0,1,0,1.151,0.8,0.4,0,1
0,0,1,0,1.124,0.8,0.4,0,1
0,1,0,0,0.87,1,0.3,0,1
0,1,0,0,0.879,1,0.3,0,1
0,1,0,0,0.901,1,0.3,0,1
0,1,0,0,0.921,1,0.3,1,1
0,0,0,0,0.893,1,0.3,1,1
0,0,0,0,0.87,1,0.2,0,1
0,0,0,0,1.074,1,0.4,0,1
0,0,0,0,0.981,1.1,0.2,0,1
0,1,0,0,0.939,0.9,0.4,0,1
0,1,0,0,0.91,0.9,0.4,0,1
0,1,0,0,0.931,0.9,0.3,0,1
0,0,1,0,1.147,0.9,0.4,0,1
0,0,0,0,0.753,0.9,0.3,1,1
0,0,1,0,1.146,0.8,0.2,0,1
0,1,0,0,0.98,0.9,0.4,0,1
0,1,0,0,0.974,0.8,0.4,0,1
0,0,1,0,0.91,0.8,0.4,0,1
0,1,0,0,0.81,0.9,0.4,0,1
0,0,0,0,0.946,1,0.4,0,1
0,1,0,0,0.908,0.9,0.3,0,1
0,0,0,1,0.915,0.9,0.2,0,1
0,1,0,0,0.926,1,0.4,0,1
0,1,0,0,0.87,0.9,0.2,0,1
0,1,0,0,0.885,0.9,0.2,0,1
0,0,1,0,0.985,0.7,0.4,0,1
0,0,1,0,0.955,0.7,0.4,0,1
0,1,0,0,0.872,1,0.3,0,1
0,0,0,0,0.919,1,0.4,1,1
0,1,0,0,0.947,0.9,0.4,0,1
0,0,1,0,0.931,0.9,0.3,0,1
0,0,1,0,1.013,0.9,0.3,0,1
0,0,1,0,0.87,0.9,0.3,0,1
0,1,0,0,0.899,0.9,0.3,0,1
0,0,1,0,0.921,0.9,0.3,0,1
0,1,0,0,0.921,0.8,0.3,0,1
0,1,0,0,0.852,0.8,0.3,0,1
0,0,1,0,0.925,0.8,0.5,0,1
0,0,1,0,0.876,0.8,0.5,0,1
0,1,0,0,0.917,0.9,0.4,0,1
0,0,0,0,1.003,0.9,0.5,0,1
0,1,0,0,0.9,0.9,0.5,1,1
0,0,1,0,0.931,0.8,0.5,0,1
0,1,0,0,0.906,0.7,0.5,0,1
0,0,0,0,0.914,0.9,0.2,0,1
0,1,0,0,0.882,0.9,0.2,0,1
0,0,0,0,0.751,0.9,0.4,0,1
0,1,0,0,1.031,0.9,0.4,1,1
0,0,0,1,1.059,0.9,0.4,0,1
0,0,1,0,0.985,0.8,0.4,0,1
0,1,0,0,0.753,0.8,0.4,1,1
0,1,0,0,0.885,1,0.4,0,1
0,1,0,0,0.899,0.9,0.4,0,1
0,1,0,0,0.885,0.9,0.4,0,1
0,1,0,0,0.885,0.9,0.4,0,1
0,0,1,0,1.151,0.8,0.2,0,1
0,0,0,0,0.87,0.9,0.3,0,1
0,0,1,0,1.107,0.9,0.3,0,1
