Y,US,RSHS,RSMS,O,AADT,MCV,C,CT
0,0,0,0,1.04,1.1,0.27,0,1
0,0,0,0,0.99,1.03,0.26,0,1
0,0,0,0,0.868,1.05,0.36,0,0
0,0,0,0,0.899,0.97,0.11,0,0
0,0,0,0,0.939,0.97,0.11,0,0
0,0,0,0,0.899,0.97,0.11,0,1
0,0,0,0,0.801,0.97,0.11,0,1
0,1,0,0,0.885,1.01,0.29,1,0
0,0,0,0,0.829,1.01,0.29,0,0
0,0,0,0,1.028,1.04,0.29,0,1
0,0,0,0,0.885,1.05,0.34,1,1
0,0,0,0,0.91,1.04,0.33,1,1
0,0,0,0,0.852,1.02,0.27,0,0
0,0,0,0,0.885,1.05,0.5,1,0
0,0,0,0,0.87,1.05,0.5,1,0
0,0,0,0,0.921,1.05,0.51,0,0
0,1,0,0,0.931,1,0.5,0,0
0,1,0,0,0.962,1,0.5,1,1
0,1,0,0,0.76,0.91,0.36,0,0
0,1,0,0,0.852,0.96,0.47,0,1
0,1,0,0,0.899,0.96,0.47,0,0
0,1,0,0,0.982,0.96,0.47,0,0
0,0,0,0,0.98,1.06,0.21,0,1
0,0,0,0,0.947,1.05,0.2,0,1
0,0,0,0,0.91,1.05,0.2,0,0
0,0,0,0,0.947,1.04,0.18,0,1
0,0,0,0,0.91,1.04,0.18,0,1
0,0,0,0,0.976,1.03,0.18,0,1
0,0,0,0,0.974,1.01,0.07,0,0
0,0,0,0,0.87,1.01,0.07,0,0
0,0,0,0,0.931,1.01,0.07,0,0
0,0,0,0,0.899,1.05,0.29,0,0
0,0,0,0,0.91,1.05,0.29,0,0
0,0,0,0,0.885,0.97,0.15,1,0
0,1,0,0,0.87,0.96,0.26,0,1
0,1,0,0,0.872,0.96,0.26,0,1
0,0,0,0,0.931,1,0.5,1,1
0,0,0,0,0.855,1,0.5,1,1
0,1,0,0,0.874,0.98,0.41,1,0
0,1,0,0,0.89,1.03,0.44,1,1
0,0,0,0,0.885,1.03,0.44,1,1
0,1,0,0,0.881,1.02,0.42,0,1
0,1,0,0,0.922,1.01,0.07,1,0
0,0,0,0,0.93,1,0.19,0,0
0,0,0,0,0.921,1.01,0.27,0,0
0,0,0,0,0.939,1.07,0.27,1,0
0,0,0,0,0.899,1.06,0.1,1,0
0,0,0,0,0.91,1.04,0.12,0,0
0,0,0,0,0.885,0.98,0.21,0,0
0,0,0,0,0.995,1.06,0.13,0,0
0,0,0,0,0.921,1.01,0.22,0,0
0,0,0,0,0.87,1.01,0.22,0,0
0,0,0,0,0.968,1.01,0.22,0,0
0,0,0,0,0.904,1.06,0.14,0,0
0,0,0,0,0.872,1.02,0.44,0,0
0,0,1,0,1.069,1.02,0.47,0,0
0,0,0,0,0.859,0.97,0.01,1,0
0,0,0,0,0.931,1,0.06,0,0
0,1,0,0,0.827,0.85,0.35,0,0
0,1,0,0,0.902,0.96,0.25,1,1
0,0,0,0,0.79,0.94,0.37,0,1
0,0,0,0,1.021,1.07,0.48,0,1
0,0,0,0,0.917,1.06,0.39,0,0
0,0,0,0,0.947,1.04,0.23,0,1
0,0,0,0,0.899,1.04,0.35,0,1
0,0,0,0,1.017,1.04,0.42,0,0
0,0,0,0,0.917,1.01,0.47,0,0
0,0,0,0,0.994,1.01,0.47,0,0
0,0,0,0,0.962,1.03,0.46,0,0
0,0,0,0,0.98,1.04,0.23,0,1
0,1,0,0,0.91,0.9,0.43,0,1
0,1,0,0,0.921,0.9,0.43,0,0
0,1,0,0,0.899,0.93,0.42,0,0
0,1,0,0,0.87,0.93,0.41,0,1
0,1,0,0,0.91,0.87,0.35,0,1
0,1,0,0,0.921,0.83,0.43,1,1
0,0,1,0,1.004,0.83,0.42,0,1
0,0,1,0,1.151,0.84,0.39,0,1
0,0,1,0,1.151,0.84,0.39,0,1
0,0,1,0,1.151,0.84,0.39,0,1
0,0,1,0,1.124,0.84,0.39,0,1
0,1,0,0,0.962,0.9,0.22,1,0
0,1,0,0,0.87,0.9,0.19,1,0
0,1,0,0,0.87,0.99,0.27,0,0
0,1,0,0,0.879,0.99,0.27,0,0
0,1,0,0,0.901,0.99,0.27,0,0
0,1,0,0,0.921,0.99,0.27,1,0
0,0,0,0,0.893,0.99,0.26,1,0
0,1,0,0,0.916,1.01,0.26,1,0
0,0,0,0,0.948,1.02,0.08,1,0
0,0,0,0,0.87,1,0.25,0,0
0,0,0,0,0.885,1,0.25,0,0
0,0,0,0,0.947,1,0.23,0,0
0,0,0,0,0.899,1.06,0.29,0,0
0,0,0,0,1.074,1.04,0.36,0,0
0,0,0,0,0.981,1.09,0.15,0,0
0,1,0,0,0.939,0.9,0.42,0,0
0,1,0,0,1.037,0.96,0.43,0,1
0,1,0,0,0.91,0.9,0.38,0,0
0,1,0,0,0.894,0.9,0.29,0,0
0,1,0,0,0.875,0.9,0.28,0,0
0,1,0,0,0.931,0.91,0.29,0,0
0,1,0,0,0.91,0.95,0.36,0,0
0,0,0,1,1.082,0.94,0.37,0,0
0,1,0,0,0.955,0.94,0.36,0,0
0,0,1,0,1.147,0.94,0.36,0,1
0,0,1,0,0.949,0.94,0.36,0,0
0,1,0,0,0.859,0.92,0.31,1,0
0,0,0,0,0.753,0.92,0.28,1,0
0,1,0,0,0.87,0.81,0.38,0,0
0,1,0,0,0.885,0.77,0.25,0,0
0,0,1,0,1.146,0.77,0.21,0,1
0,0,1,0,0.974,0.77,0.21,0,1
0,0,1,0,0.885,0.77,0.21,0,0
0,0,1,0,1.092,0.8,0.32,0,0
0,0,1,0,0.885,0.81,0.35,0,0
0,0,1,0,1.004,0.81,0.35,0,0
0,1,0,0,0.955,0.9,0.53,0,0
0,1,0,0,0.98,0.89,0.44,0,0
0,1,0,0,0.974,0.83,0.4,0,0
0,1,0,0,0.885,0.83,0.4,0,0
0,0,1,0,0.91,0.79,0.42,0,0
0,0,1,0,0.955,0.79,0.42,0,0
0,0,1,0,1.151,0.74,0.43,0,1
0,0,1,0,0.933,0.74,0.43,0,1
0,1,0,0,0.81,0.91,0.37,0,0
0,0,0,0,0.876,0.93,0.33,0,0
0,0,0,0,0.946,1.02,0.41,0,1
0,1,0,0,1.054,0.97,0.41,0,1
0,1,0,0,0.908,0.91,0.26,0,0
0,0,0,1,0.915,0.92,0.18,0,0
0,1,0,0,0.98,0.91,0.3,0,0
0,0,0,0,0.916,0.95,0.31,0,1
0,1,0,0,0.926,0.96,0.37,0,1
0,1,0,0,0.98,0.93,0.4,0,0
0,1,0,0,0.87,0.92,0.24,0,0
0,1,0,0,0.939,0.92,0.24,0,0
0,1,0,0,0.885,0.92,0.24,0,0
0,0,0,1,0.994,0.87,0.34,0,0
0,0,1,0,1.083,0.83,0.37,0,1
0,0,1,0,0.985,0.72,0.36,0,0
0,0,1,0,0.955,0.71,0.36,0,0
0,1,0,0,0.943,0.71,0.36,0,0
0,1,0,0,0.872,0.98,0.28,0,0
0,1,0,0,0.868,0.95,0.28,1,0
0,0,0,0,0.921,0.95,0.36,1,0
0,1,0,0,0.913,0.96,0.41,0,0
0,0,0,0,0.919,0.95,0.41,1,0
0,1,0,0,0.87,0.92,0.36,0,0
0,1,0,0,0.947,0.92,0.36,0,0
0,0,1,0,0.931,0.86,0.34,0,0
0,0,1,0,1.013,0.86,0.34,0,0
0,0,1,0,0.87,0.86,0.34,0,0
0,1,0,0,0.899,0.86,0.34,0,0
0,0,1,0,0.91,0.86,0.34,0,0
0,0,1,0,0.921,0.86,0.34,0,0
0,0,1,0,0.916,0.86,0.34,0,1
0,0,1,0,0.91,0.86,0.34,0,1
0,0,1,0,0.939,0.86,0.34,0,1
0,1,0,0,0.921,0.84,0.34,0,0
0,0,1,0,1.04,0.79,0.35,0,0
0,1,0,0,0.852,0.79,0.35,0,0
0,0,1,0,1.151,0.8,0.37,0,1
0,0,1,0,1.151,0.8,0.37,0,1
0,0,1,0,1.049,0.8,0.37,0,1
0,0,1,0,0.885,0.81,0.37,0,1
0,0,1,0,0.87,0.81,0.37,0,1
0,1,0,0,0.934,0.81,0.37,0,1
0,1,0,0,0.863,0.82,0.49,0,0
0,1,0,0,0.839,0.82,0.49,0,1
1,1,0,0,0.848,0.82,0.49,0,0
0,0,1,0,0.925,0.82,0.49,0,0
0,0,1,0,0.963,0.82,0.49,0,0
0,0,1,0,0.876,0.82,0.49,0,0
0,0,1,0,0.863,0.82,0.49,0,0
0,1,0,0,0.848,0.84,0.48,1,0
0,1,0,0,1.005,0.86,0.47,0,0
0,1,0,0,0.848,0.86,0.47,1,0
0,1,0,0,0.876,0.88,0.48,0,0
0,1,0,0,0.863,0.88,0.48,0,0
0,1,0,0,0.917,0.85,0.43,0,0
0,1,0,0,0.888,0.81,0.41,0,0
0,0,0,0,1.003,0.88,0.51,0,1
0,1,0,0,0.913,0.87,0.51,1,0
1,1,0,0,0.884,0.91,0.52,1,0
0,1,0,0,0.9,0.91,0.52,1,0
1,1,0,0,1.007,0.88,0.54,0,1
0,0,0,0,1.022,0.88,0.54,1,1
1,0,1,0,1.151,0.81,0.54,0,1
0,0,1,0,1.151,0.81,0.54,0,1
0,0,1,0,0.931,0.81,0.54,0,1
0,0,1,0,0.943,0.8,0.53,0,0
0,1,0,0,0.906,0.73,0.49,0,0
0,0,0,0,0.914,0.95,0.19,0,1
0,1,0,0,0.882,0.92,0.23,0,1
0,0,0,0,0.85,0.91,0.32,1,1
0,0,0,0,0.751,0.88,0.4,0,1
0,1,0,0,0.921,0.88,0.4,0,0
0,1,0,0,0.947,0.88,0.4,0,1
0,1,0,0,1.031,0.88,0.4,1,1
0,1,0,0,0.931,0.93,0.41,0,1
0,1,0,0,0.931,0.93,0.41,0,1
0,0,0,1,0.91,0.93,0.41,0,1
0,0,0,1,1.059,0.93,0.41,0,1
0,0,0,0,0.872,0.91,0.42,1,1
0,0,1,0,0.985,0.84,0.43,0,0
0,0,1,0,0.91,0.84,0.43,0,0
0,1,0,0,0.753,0.84,0.43,1,0
0,1,0,0,0.931,0.55,0.31,0,0
0,0,1,0,1.151,0.55,0.31,0,0
0,0,1,0,1.151,0.55,0.31,0,0
0,0,1,0,1.063,0.55,0.31,0,0
0,0,0,0,0.87,0.97,0.41,1,0
0,1,0,0,0.885,0.97,0.41,0,0
0,1,0,0,0.899,0.94,0.4,0,0
0,1,0,0,0.87,0.92,0.41,0,0
0,1,0,0,0.899,0.9,0.41,0,0
0,1,0,0,0.885,0.89,0.42,0,0
0,1,0,0,0.87,0.87,0.4,0,0
0,1,0,0,0.885,0.85,0.38,0,0
0,1,0,0,0.885,0.85,0.38,0,0
0,1,0,0,0.91,0.85,0.38,0,0
0,0,1,0,1.151,0.81,0.24,0,1
0,0,1,0,1.151,0.81,0.24,0,1
0,0,1,0,1.141,0.81,0.24,0,1
0,0,0,0,0.909,1,0.46,0,0
0,1,0,0,0.875,1.04,0.43,0,0
0,0,0,0,1.027,0.97,0.33,0,0
0,0,0,0,0.939,0.94,0.33,0,1
0,0,0,0,0.87,0.94,0.33,0,1
0,0,0,0,0.885,0.94,0.33,0,1
0,0,0,0,1.115,0.94,0.33,0,1
0,0,1,0,1.151,0.94,0.33,0,1
0,0,1,0,1.107,0.94,0.33,0,1
0,1,0,0,0.962,0.93,0.41,0,0
0,1,0,0,0.921,0.93,0.41,0,0
0,1,0,0,0.931,0.93,0.41,0,1
0,1,0,0,0.921,0.93,0.41,0,1
0,0,0,0,0.885,0.93,0.41,1,0
0,1,0,0,0.899,0.89,0.18,1,1
0,1,0,0,0.931,0.89,0.18,0,1
0,0,1,0,1.15,0.84,0.18,0,1
0,0,1,0,1.004,0.82,0,0,0
0,1,0,0,0.888,0.75,0.18,0,1
0,0,1,0,0.888,0.75,0.18,0,0
0,0,1,0,1.03,0.75,0.18,0,1
