ID,FREQ,LENGTH,INCLANES,DECLANES,WIDTH,MIMEDSH,MXMEDSH,SPEED,URB,FC,AADT,SINGLE,DOUBLE,TRAIN,PEAKHR,GRADEBR,MIGRADE,MXGRADE,MXGRDIFF,TANGENT,CURVES,MINRAD,ACCESS,MEDWIDTH,FRICTION,ADTLANE,SLOPE,INTECHAG,AVEPRE,AVESNOW,LOWPRE,GBRPM,EXPOSE,INTPM,CPM,HISNOW
1,1,0.64,2,2,48,4,4,55,0,1,3347,10,5.3,1.1,10.1,2,-1.8,-2.9,0.7,0.39,2,1400,1,4,53.5,837,2,0,9.94,54.33,0,1.898734177,1.881852838,0.632911392,1.265822785,0
2,4,1.44,2,2,46,0,4,55,0,1,3347,10,5.3,1.1,10.1,2,-1.46,-2.5,0.74,0.22,4,1433,1,5,54,837,2,0,9.94,54.33,0,1.693548387,3.02187442,0.322580645,0.725806452,1
3,2,1.07,2,2,48,0,0,55,0,1,12598,5,6,1,8.73,2,-1.85,3.15,6.16,0.54,1,5730,1,1,52.5,3150,0,0,2.39,6.35,0,0.531914894,1.041219294,1.063829787,0.531914894,1
4,1,1.1,2,2,48,0,0,55,0,1,12598,5,6,1,8.73,2,0.05,-3.14,3.19,1.34,2,5730,1,1,52.3,3150,0,0,2.39,6.35,0,9.433962264,0.114750671,1.886792453,0.943396226,0
5,0,0.71,2,2,48,0,0,55,0,1,13946,5,6,1,8.87,0,-0.26,-0.5,0.17,0.16,2,1637,1,1,52.3,3487,0,0,0.92,1.25,0,0.666666667,0.944749575,1.333333333,1.333333333,1
6,36,5.69,2,2,48,4,4,55,0,1,13629,3.6,2.3,0.6,9,7,-0.2,-3.45,4.61,1.93,6,3200,1,4,46.2,3407,0,0,1.63,4.16,0,1.739130435,0.63227782,0.869565217,1.739130435,1
7,4,1.3,2,2,62,4,4,55,0,1,11699,3.6,2.3,0.6,9.48,4,0.38,4.05,3.67,0.22,2,7640,1,4,46,2925,0,0,2.43,6.78,0,1.675977654,0.94108534,0,1.117318436,0
8,2,1.37,2,2,48,4,4,55,0,1,8116,4.5,2.3,1.1,8.24,3,0.5,-1.8,3.57,0.5,4,2200,1,5,54.5,2029,0,0,2.43,6.78,0,1.333333333,0.873552675,0.666666667,0.666666667,0
9,12,2.41,2,2,48,4,4,55,0,1,8116,4.5,2.3,1.1,8.24,5,0.5,4.78,5.93,0.09,8,1800,1,2,55.8,2029,0,0,2.43,6.78,0,1.117318436,1.925500852,0.558659218,1.117318436,1
10,2,1.63,2,2,48,4,4,55,0,1,8116,4.5,2.3,1.1,8.24,3,-0.52,-2.74,2.22,0.16,4,1800,1,2,56,2029,0,0,2.43,6.78,0,3.041825095,0.848423009,0.380228137,1.520912548,1
11,14,2.22,2,2,48,4,4,55,0,1,37106,4.1,3.7,1.1,9.6,3,-0.52,-1.82,2.98,0.77,3,1920,2,3,53.8,9277,2,2,5.22,1.09,0,1.98019802,0.482533358,0.99009901,0.99009901,0
12,1,0.87,2,2,48,4,4,55,0,1,39453,4.1,3.7,1.1,8.82,3,1,-2.72,4.24,0.5,2,2000,2,5,53,9863,2,1,5.22,1.09,1,1.450777202,0.83998618,0.155440415,0.466321244,1
13,20,1.16,2,2,48,4,4,55,0,1,29370,4.1,3.7,1.1,10.5,2,0.22,-4.51,5.3,0.07,1,1800,2,2,51.5,7343,0,2,5.22,1.09,0,1.707317073,0.9676369,0.365853659,0.853658537,1
14,14,2.11,3,3,72,4,4,55,0,1,31194,4.1,3.7,1.1,9.8,5,0.22,2.92,2.29,0.32,3,4000,2,3,51.3,5199,1,2,5.22,1.09,0,1.360544218,0.621780968,0.680272109,1.360544218,1
15,26,1.7,2,2,48,6,6,55,1,5,34738,3.39,7.33,2.42,10.8,3,0.37,3.54,3.04,0.17,0,0,2,3,47.8,8685,0,2,3.18,0.67,0,1.530612245,0.571232592,0.510204082,1.530612245,0
16,11,1.52,3,3,72,6,6,65,1,5,51784,3.39,7.33,2.42,10.8,3,1,-2.43,4.07,2.14,0,0,2,3,45.5,8631,0,1,3.18,0.67,0,1.034482759,0.25245225,0.517241379,1.034482759,1
17,25,3.24,3,3,72,6,6,65,0,5,48307,4.7,12.1,4.2,10.8,9,0.16,1.7,3,4.91,1,11460,2,5,47.2,8051,0,1,3.18,0.67,0,1.474201474,1.147676508,0.491400491,0.491400491,0
18,10,0.85,3,3,72,6,6,65,0,5,46886,4.7,12.1,4.2,10.8,1,0.51,-2.82,3.33,3.33,0,0,2,5,45,7814,1,1,3.18,0.67,0,1.322751323,0.878151456,0.264550265,0.529100529,1
19,12,1.17,3,3,72,6,6,65,0,5,46307,4.7,12.1,4.2,10.8,3,0.35,-1.73,2.37,0.18,2,2083,2,3,45,7718,0,0,6.14,0,0,0.301204819,0.610274598,0.903614458,0.301204819,0
20,2,0.7,3,3,84,6,6,65,0,5,46307,4.7,12.1,4.2,10.8,2,-0.01,-1.04,1.03,0.4,0,0,2,3,45,7718,0,0,6.14,0,0,2.074688797,0.74330425,0,0.20746888,0
21,11,1.3,3,3,72,6,6,65,0,5,43706,6.8,12.8,4.1,10.8,2,0.5,-1.92,2.42,0.34,1,5730,2,5,48.5,7284,1,1,6.14,0,0,1.333333333,0.3943095,0,0,0
22,6,0.53,3,3,72,6,6,65,0,5,43706,6.8,12.8,4.1,10.8,2,0.35,-0.96,1.31,1.39,1,22918,2,5,49.5,7284,2,1,6.14,0,0,1.435406699,1.081522959,0.4784689,1.196172249,0
23,1,0.52,3,3,72,6,6,65,0,5,45088,6.8,12.8,4.1,10.8,3,0.31,-1.58,1.15,1.16,1,3820,2,5,49.5,7515,0,1,6.14,0,0,1.25,0.42393436,1.25,1.25,0
24,6,1.05,3,3,72,6,6,65,0,5,45088,6.8,12.8,4.1,10.8,1,0,-3,3,0.12,2,2865,2,3,49.5,7515,0,0,6.14,0,1,1.856148492,0.363492039,0.464037123,1.856148492,0
25,2,0.91,3,3,72,6,6,65,0,5,45088,6.8,12.8,4.1,10.8,1,0,-0.54,0.54,0.28,2,5730,2,5,51.5,7515,1,0,6.14,0,0,3.349282297,0.203673322,1.435406699,2.392344498,1
26,16,1.17,3,3,88,6,6,65,0,5,48673,6.8,12.8,4.1,10.8,1,0,-0.54,0.54,0.15,0,0,2,4,50.5,8112,0,1,6.14,0,1,1.318681319,0.714355005,0.43956044,1.098901099,0
27,0,2.72,3,3,72,6,6,65,0,5,40503,4.2,14.6,3.4,10.8,6,0,-1.04,1.97,1.38,5,4000,2,2,48.5,6751,0,0,4.66,0.88,0,2.027027027,0.553099976,0.337837838,0.675675676,0
28,0,0.61,3,3,72,6,6,65,1,5,40503,4.2,14.6,3.4,10.8,1,0,0.5,0.83,0.11,2,11459,2,2,48.5,6751,0,1,4.66,0.88,1,0.869565217,0.799749675,0.173913043,1.217391304,0
29,4,0.91,3,3,72,5,5,65,1,5,40503,4.2,14.6,3.4,10.8,2,0.3,-1.09,1.59,0.28,2,2000,2,3,48.5,6751,0,1,4.66,0.88,0,3.260869565,0.176251346,1.086956522,2.173913043,1
30,5,0.57,3,3,88,6,6,65,1,5,33651,8,17,7,12.3,2,0.01,0.89,1.76,0.07,1,2076,2,3,50.5,5609,0,0,4.66,0.88,1,1.931330472,0.601693375,0.643776824,1.502145923,0
31,14,1.66,4,3,84,5,6,65,1,5,38934,7,15.6,5.5,12.3,5,-0.88,3.5,6.4,0.44,3,2700,2,5,53,5562,2,1,4.66,0.88,0,0.787401575,0.221702059,1.57480315,1.57480315,0
