lnaadt,ADT,lnseglen,rtshd,lane,speed,lftshd,Crashes
7.438,1699.348124,-0.261,10,12,55,10,1
6.659,779.7707763,-0.528,10,12,55,10,2
6.659,779.7707763,-0.386,10,12,55,10,5
6.659,779.7707763,-1.47,10,12,55,10,1
6.659,779.7707763,-2.526,10,12,55,10,1
6.659,779.7707763,-2.538,10,12,55,10,1
6.659,779.7707763,-2.564,10,12,55,10,2
8.071,3200.30053,0.896,10,11,55,10,3
8.071,3200.30053,-1.171,10,11,55,10,0
8.071,3200.30053,-0.814,10,11,55,10,3
8.071,3200.30053,-0.644,10,11,55,10,5
8.071,3200.30053,-0.208,10,11,55,10,4
8.071,3200.30053,-1.523,10,11,55,10,1
8.071,3200.30053,-0.6,10,11,55,10,3
8.071,3200.30053,-0.976,10,11,55,10,4
8.071,3200.30053,-1.966,10,11,55,10,1
8.071,3200.30053,-1.661,10,11,55,10,3
8.071,3200.30053,-1.514,10,11,55,10,1
8.071,3200.30053,-1.772,10,11,55,10,1
8.071,3200.30053,-2.303,10,11,55,10,0
7.937,2798.951047,-1.897,10,11,55,10,0
7.937,2798.951047,-0.198,10,11,55,10,7
7.937,2798.951047,1.428,10,11,55,10,5
7.937,2798.951047,-1.609,10,11,55,10,2
7.937,2798.951047,-1.171,10,11,55,10,5
7.937,2798.951047,-0.562,10,11,55,10,6
7.937,2798.951047,-0.87,10,11,55,10,1
8.66,5767.534663,-2.397,10,11,55,10,3
8.666,5802.243894,-1.772,10,11,45,10,1
8.666,5802.243894,-2.996,10,11,45,10,1
8.666,5802.243894,-2.303,10,11,45,10,1
8.666,5802.243894,-2.207,10,11,45,10,1
8.666,5802.243894,-2.659,10,11,45,10,0
8.666,5802.243894,-2.04,10,11,45,10,2
8.666,5802.243894,-1.772,10,11,45,10,2
8.666,5802.243894,-2.996,10,11,45,10,1
8.666,5802.243894,-2.813,10,11,45,10,2
8.666,5802.243894,-1.386,10,11,45,10,3
8.666,5802.243894,-1.897,10,11,45,10,1
8.666,5802.243894,-3.963,10,11,55,10,1
