ID,Month,Death,Roadway_Class,Road_surface,Road_section,Weather_condition,Light_condition
1,1,0,4,1,1,1,1
2,1,0,3,1,3,1,1
3,1,1,1,1,1,1,2
4,1,1,1,1,2,1,1
5,1,1,4,1,2,1,3
6,1,0,4,1,1,1,3
7,1,1,3,1,2,1,3
8,1,1,3,1,3,1,3
9,1,0,4,1,1,1,1
10,1,0,4,1,1,1,1
11,1,0,3,1,1,1,3
12,1,0,1,1,1,1,1
13,1,0,4,1,1,1,1
14,1,1,2,1,2,1,1
15,1,0,4,1,3,1,1
16,1,0,3,1,1,1,1
17,1,1,3,1,3,1,2
18,1,1,4,1,3,1,1
19,1,0,1,1,2,1,1
20,1,0,4,1,1,1,3
21,1,1,2,1,1,1,1
22,1,1,1,1,2,1,3
23,1,0,4,1,1,1,1
24,1,0,3,1,1,1,1
25,1,1,1,1,1,1,2
26,1,1,1,1,3,1,2
27,1,0,3,1,1,1,1
28,1,0,3,1,1,1,2
29,1,0,4,1,1,1,3
30,1,0,4,1,1,1,3
31,1,0,1,1,1,1,2
32,1,1,1,1,1,1,2
33,1,0,4,1,2,1,1
34,1,0,2,1,1,1,2
35,1,0,1,1,1,1,1
36,1,0,3,1,1,1,2
37,1,0,1,1,1,1,3
38,1,0,4,1,1,1,3
39,1,0,1,1,2,1,1
40,1,0,4,1,1,1,3
41,1,0,1,1,3,1,1
42,1,0,2,1,1,1,1
43,1,0,2,1,1,1,2
44,1,1,2,1,1,1,3
45,1,0,3,1,2,1,1
46,1,0,1,1,3,1,1
47,1,0,4,1,1,1,1
48,1,0,3,1,2,1,2
49,1,0,4,1,1,1,3
50,1,1,2,1,1,1,1
51,1,0,4,1,1,1,3
52,1,0,4,1,1,1,1
53,1,1,4,1,1,1,1
54,1,0,3,1,1,1,1
55,1,0,1,1,2,1,1
56,1,0,4,1,1,1,2
57,1,0,4,1,1,1,3
58,1,0,3,1,3,1,3
59,1,0,4,1,3,1,2
60,1,0,4,1,1,1,1
61,1,1,1,1,1,1,1
62,1,0,4,1,1,1,1
63,1,0,4,1,1,1,3
64,1,0,4,1,1,1,3
65,1,0,3,1,1,1,1
66,1,0,1,1,1,1,2
67,1,0,2,1,1,1,1
68,1,0,4,1,1,1,1
69,1,1,1,1,1,1,1
70,1,0,4,1,1,1,1
71,1,0,1,1,3,1,3
72,1,0,1,1,1,1,3
73,1,0,4,1,1,2,1
74,1,0,4,1,2,1,1
75,1,1,1,1,1,1,1
76,1,0,4,1,2,1,1
77,1,0,3,1,3,1,1
78,1,2,1,1,2,1,1
79,1,0,1,1,2,1,1
80,1,1,1,1,2,1,3
81,1,0,1,1,1,2,1
82,1,0,2,1,1,1,3
83,1,0,1,2,2,2,3
84,1,0,4,1,1,1,1
85,1,1,1,1,3,1,1
86,1,1,3,1,3,1,2
87,1,0,1,1,3,1,1
88,1,0,4,1,1,1,3
89,1,0,1,1,1,1,2
90,1,0,3,1,3,1,1
91,1,0,3,1,1,1,3
92,1,0,4,1,1,1,3
93,1,0,4,1,2,1,1
94,1,0,4,1,1,1,1
95,1,0,4,1,1,1,1
96,1,0,2,1,2,1,1
97,1,0,2,1,1,1,1
98,1,0,4,1,2,2,1
99,1,0,4,2,3,1,1
100,1,0,1,1,3,1,2
101,1,1,1,1,1,1,2
102,1,0,4,1,3,1,1
103,1,0,4,2,2,3,3
104,1,0,1,1,1,1,2
105,1,0,1,1,2,1,3
106,1,0,4,1,1,1,1
107,1,0,2,1,1,1,1
108,1,0,4,1,1,1,3
109,1,0,4,1,1,2,3
110,1,0,4,1,3,1,1
111,1,0,1,1,3,1,3
112,1,1,1,1,3,1,1
113,1,0,4,1,1,1,1
114,1,2,1,1,1,1,1
115,1,0,1,1,1,1,3
116,1,0,1,1,1,1,1
117,1,0,3,1,3,1,1
118,1,1,2,1,1,1,2
