ID,FREQ,ROUTE,LENGTH,INCLANES,DECLANES,WIDTH,MIMEDSH,MXMEDSH,SPEED,URB,FC,AADT,SINGLE,DOUBLE,TRAIN,PEAKHR,GRADEBR,MIGRADE,MXGRADE,MXGRDIFF,TANGENT,CURVES,MINRAD,ACCESS,MEDWIDTH,FRICTION,ADTLANE,SLOPE,INTECHAG,AVEPRE,AVESNOW,LANEADT,LNLANADT,LNAADT,DENSITY,LOWFRI,MEDFRI,HIFRI,CURVMILE,LOWCVMIL,MEDCVMIL,HICVMIL,TRUCK,NOTRUCK,MED030,MED3040,MED4050,MED5060,MED60,SPEED1,SPEED2,SPEED3,SPEED4,LOCAL,INTSTATE,NONE,PARTIAL,FULL,FLAT,SLIGHT,MEDIUM,SLPFLAT,SLPMED,LOWPRE,MEDPRE,HIPRE,NORSNOW,HISNOW,LANEWID,NLANWID,WLANWID,EXPOSE,CPM,INTPM,GBRPM,const
1,1,2,0.64,2,2,48,4,4,55,0,1,3347,10,5.3,1.1,10.1,2,-1.8,-2.9,0.7,0.39,2,1400,1,4,53.5,837,2,0,9.94,54.33,836.75,6.7295253,8.1158197,1307.421875,0,0,1,3.125,0,0,1,16.4,54890.8,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0.0833333,1,0,0.0078186,3.125,0,3.125,1
2,4,2,1.44,2,2,46,0,4,55,0,1,3347,10,5.3,1.1,10.1,2,-1.46,-2.5,0.74,0.22,4,1433,1,5,54,837,2,0,9.94,54.33,836.75,6.7295253,8.1158197,581.0763889,0,0,1,2.7777778,0,0,1,16.4,54890.8,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0.0869565,1,0,0.0175918,2.7777778,0,1.3888889,1
3,2,2,1.07,2,2,48,0,0,55,0,1,12598,5,6,1,8.73,2,-1.85,3.15,6.16,0.54,1,5730,1,1,52.5,3150,0,0,2.39,6.35,3149.5,8.054999,9.4412934,2943.457944,0,0,1,0.9345794,0,1,0,12,151176,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0833333,1,0,0.0492015,0.9345794,0,1.8691589,1
4,1,2,1.1,2,2,48,0,0,55,0,1,12598,5,6,1,8.73,2,0.05,-3.14,3.19,1.34,2,5730,1,1,52.3,3150,0,0,2.39,6.35,3149.5,8.054999,9.4412934,2863.181818,0,0,1,1.8181818,0,1,0,12,151176,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0833333,1,0,0.050581,1.8181818,0,1.8181818,1
5,0,2,0.71,2,2,48,0,0,55,0,1,13946,5,6,1,8.87,0,-0.26,-0.5,0.17,0.16,2,1637,1,1,52.3,3487,0,0,0.92,1.25,3486.5,8.1566536,9.542948,4910.56338,0,0,1,2.8169014,0,0,1,12,167352,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0.0833333,1,0,0.0361411,2.8169014,0,0,1
6,36,2,5.69,2,2,48,4,4,55,0,1,13629,3.6,2.3,0.6,9,7,-0.2,-3.45,4.61,1.93,6,3200,1,4,46.2,3407,0,0,1.63,4.16,3407.25,8.1336608,9.5199552,598.8137083,0,1,0,1.0544815,0,1,0,6.5,88588.5,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0833333,1,0,0.2830539,1.0544815,0,1.2302285,1
7,4,2,1.3,2,2,62,4,4,55,0,1,11699,3.6,2.3,0.6,9.48,4,0.38,4.05,3.67,0.22,2,7640,1,4,46,2925,0,0,2.43,6.78,2924.75,7.9809643,9.3672586,2249.807692,0,1,0,1.5384615,0,1,0,6.5,76043.5,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0645161,1,0,0.0555118,1.5384615,0,3.0769231,1
8,2,2,1.37,2,2,48,4,4,55,0,1,8116,4.5,2.3,1.1,8.24,3,0.5,-1.8,3.57,0.5,4,2200,1,5,54.5,2029,0,0,2.43,6.78,2029,7.6152983,9.0015927,1481.021898,0,0,1,2.919708,0,0,1,7.9,64116.4,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0833333,1,0,0.0405841,2.919708,0,2.189781,1
9,12,2,2.41,2,2,48,4,4,55,0,1,8116,4.5,2.3,1.1,8.24,5,0.5,4.78,5.93,0.09,8,1800,1,2,55.8,2029,0,0,2.43,6.78,2029,7.6152983,9.0015927,841.9087137,0,0,1,3.3195021,0,0,1,7.9,64116.4,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0833333,1,0,0.0713924,3.3195021,0,2.0746888,1
10,2,2,1.63,2,2,48,4,4,55,0,1,8116,4.5,2.3,1.1,8.24,3,-0.52,-2.74,2.22,0.16,4,1800,1,2,56,2029,0,0,2.43,6.78,2029,7.6152983,9.0015927,1244.785276,0,0,1,2.4539877,0,1,0,7.9,64116.4,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0833333,1,0,0.0482861,2.4539877,0,1.8404908,1
11,14,3,2.22,2,2,48,4,4,55,0,1,37106,4.1,3.7,1.1,9.6,3,-0.52,-1.82,2.98,0.77,3,1920,2,3,53.8,9277,2,2,5.22,1.09,9276.5,9.1352396,10.521534,4178.603604,0,0,1,1.3513514,0,1,0,8.9,330243.4,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0.0833333,1,0,0.3006699,1.3513514,0.9009009,1.3513514,1
