High_Temp,Low_Temp,Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total
78.1,62.1,0,3468,7328,8461,6184,25441
73.9,60.1,0.01,3271,7007,7968,5293,23539
72,55,0.01,2589,4510,6210,4084,17393
68,60.1,0.09,1805,3127,4023,3023,11978
66.9,60.1,0.02,2171,4552,5276,3359,15358
55.9,53.1,0.06,1193,3021,3807,2572,10593
66.9,54,0,3211,7180,7632,5072,23095
68,59,0,3253,7083,7778,5288,23402
80.1,59,0,3401,6859,7744,5155,23159
84,68,0,3066,5193,6391,4425,19075
90,73,0,2465,4388,5153,3178,15184
91.9,77,0,2854,6265,7049,5032,21200
93.9,78.1,1,2882,6141,7155,5399,21577
84,69.1,0.29,2596,5630,6619,5152,19997
75,66,0,3510,7854,8652,6344,26360
68,66,0,2054,4857,5783,4474,17168
73,66.9,1.39,1399,2633,3439,2977,10448
84,72,1,2199,4014,4901,3396,14510
87.1,70,1.35,1648,3553,4334,3552,13087
82,72,0.03,3407,7473,7975,6091,24946
82,72,0,3304,7416,8754,6159,25633
82,70,0,3368,7624,8307,6289,25588
82.9,75.9,0.04,2283,4683,5611,4330,16907
82.9,71.1,1.29,2307,3933,5214,3396,14850
82,69.1,0,2625,4882,5727,4197,17431
78.1,66,0,3386,7217,7974,5845,24422
75.9,61,0.18,3182,7317,6501,5580,22580
78.1,62.1,0,3766,8239,8873,5834,26712
81,68,0,3356,7544,8276,5662,24838
88,73.9,1,2687,5890,7013,4754,20344
84.9,72,0.23,1848,2958,3845,3216,11867
87.1,73,0,2467,3776,4173,3579,13995
87.1,71.1,0.45,2714,4199,4924,4230,16067
82.9,70,0,2296,4084,3684,3861,13925
84.9,71.1,0,3170,6770,7308,5862,23110
75,71.1,1,3065,6243,7302,5251,21861
79,68,1.78,1513,3567,4421,3304,12805
82.9,70,0,2718,4807,5781,3952,17258
81,69.1,0,3048,5446,5782,4044,18320
82.9,71.1,0,3506,7503,8106,5712,24827
84,75,0,2929,6436,7249,5129,21743
87.1,77,0,2860,6283,7102,4929,21174
89.1,77,0,2563,5150,6116,4461,18290
69.1,64.9,0.35,907,2182,2974,2147,8210
82.9,68,0,2853,4857,5631,3918,17259
84.9,70,0,2917,5190,5370,4062,17539
84.9,73.9,0,3264,7316,7789,5468,23837
87.1,75.9,0,3507,7732,8268,5531,25038
91,77,0,3114,6710,7776,5247,22847
93,78.1,0.01,2840,5980,6781,4804,20405
91,77,0,2751,5469,6548,5005,19773
91,78.1,0.57,2301,3745,4535,3841,14422
78.1,73,0.06,2321,3756,4096,3124,13297
69.1,63,0.74,1576,3584,3867,2835,11862
71.1,64,0,3191,7201,7496,5698,23586
75.9,66,0,3821,7987,8605,6556,26969
77,66.9,1,3287,6624,7221,5997,23129
84.9,73,0,3123,6135,6987,5496,21741
75.9,68,0,2074,3787,5242,3711,14814
81,64.9,0,3331,5282,5759,4324,18696
88,66.9,0,3560,7404,7546,5774,24284
91,72,0,3492,7290,7686,6050,24518
86,69.1,0.09,2637,5966,6407,5288,20298
86,70,0,3346,6728,7297,5835,23206
82.9,70,0.15,2400,4447,5158,4427,16432
77,70,0.3,3409,4520,5169,3907,17005
75.9,64,0,3130,5088,5634,4207,18059
71.1,64.9,0.76,804,1809,2669,2441,7723
77,66,0,3598,7176,7571,5932,24277
82.9,66,0,3893,7791,8589,6582,26855
82.9,69.1,0,3423,7378,7850,6290,24941
81,70,1,3148,6295,7068,5669,22180
75.9,64.9,0.11,4146,4593,5443,4548,18730
82,71.1,0,3274,5086,5419,4430,18209
80.1,70,0,3291,6717,7301,5850,23159
73,69.1,0.45,2149,4987,5976,4711,17823
84.9,70,0,3685,7191,7852,6231,24959
82,71.1,0,3637,6972,7871,6129,24609
81,73,0.88,1064,2309,3113,2819,9305
84.9,73,0,4693,4871,5612,4958,20134
81,70,0,2822,4582,5182,4188,16774
84.9,73,0,3088,6400,7141,5666,22295
88,75,0.3,2983,6151,7146,5795,22075
80.1,71.1,1,2994,6586,7297,6122,22999
79,66,0,3688,7061,7849,6289,24887
78.1,64,0,3144,6296,7318,5786,22544
77,62.1,0,2710,4592,5537,4670,17509
77,63,0,2676,4785,5145,4159,16765
75,63,0,3332,6908,7343,5917,23500
68,62.1,0.1,1472,3206,3776,3563,12017
75.9,61,0.01,3468,7159,7656,5858,24141
81,64,0,3279,6705,7536,5934,23454
70,55,0,2945,5611,6576,5398,20530
66.9,54,0.53,1876,3121,3625,3325,11947
69.1,60.1,0.74,1004,1867,2479,1711,7061
79,62.1,0,2866,4766,4882,4346,16860
84,70,1,3244,7244,7537,5906,23931
70,62.1,0.42,1232,2672,3310,2951,10165
71.1,59,0.01,3249,7059,7717,5923,23948
70,59,0,3234,6850,7739,5836,23659
69.1,55,0,2609,5035,5849,4471,17964
72,57,0,4960,5673,5773,4381,20787
75.9,55,0,3657,7783,8254,5986,25680
78.1,61,0,3497,7983,8756,6386,26622
82,64.9,0.06,2994,7461,8095,6213,24763
81,70,0.02,3013,6703,7629,5697,23042
81,66.9,0,3344,6998,7749,5853,23944
82,70,0,2560,4860,5568,4532,17520
80.1,70,0,2676,4935,5599,4032,17242
73,69.1,0,2673,6338,6708,4864,20583
78.1,69.1,0.22,2012,4726,5729,4171,16638
78.1,71.1,0,3296,6826,7518,5570,23210
80.1,71.1,0,3317,6663,8151,5792,23923
82,66,0,3297,6272,7570,5547,22686
86,68,0,2810,4940,6167,4635,18552
90,69.1,0,2543,4500,5083,3977,16103
87.1,72,0,3276,7227,7708,5941,24152
82,69.1,0,3157,7676,8150,6179,25162
84.9,71.1,0,3216,7313,7983,6309,24821
78.1,66,0,3421,7301,8118,6277,25117
66.9,55,0,2988,6221,7659,5677,22545
64,55.9,0,1903,3507,4749,3729,13888
66.9,50,0,2297,4540,5046,4092,15975
72,52,0,3387,7059,7616,5722,23784
70,57,0,3386,7370,8161,6363,25280
75,55.9,0,3412,7691,8136,6238,25477
82,64.9,0,3312,7034,7598,5998,23942
81,69.1,0,2982,6204,7336,5675,22197
80.1,66,0,2750,5019,5873,4576,18218
77,72,0.22,1235,2450,3162,2327,9174
75.9,72,0.26,898,2321,3079,2642,8940
80.1,66,0,3922,7499,8208,6421,26050
75,64.9,0.06,2721,5694,6683,5559,20657
63,55.9,0.07,2411,5083,6043,4603,18140
64.9,52,0,2839,5863,6612,5240,20554
71.1,62.1,0.08,2021,4079,4878,3734,14712
72,66,1,2169,4285,4943,3793,15190
60.1,52,0.01,2751,5752,6391,5045,19939
57.9,43,0,2869,6155,6612,5249,20885
71.1,50,0,3264,6608,7398,5753,23023
70,55.9,0,3265,6860,7742,6167,24034
73,57.9,0,3169,6286,7215,5814,22484
78.1,57,0,2538,4834,6167,4940,18479
75.9,57,0,2744,4967,5328,4474,17513
73.9,64,0,3189,6671,7096,5975,22931
73,66.9,0.2,954,2614,3251,2682,9501
64.9,57.9,0,3367,6720,7294,5856,23237
57,53.1,0,2565,5217,5958,5011,18751
62.1,48,0,3150,5610,6450,5181,20391
68,55.9,0,2245,4520,5104,4069,15938
64.9,61,3.03,183,661,1026,965,2835
55,46,0.25,1428,2966,3547,2924,10865
54,44,0,2727,5597,5894,4883,19101
