Date,HighTemp,LowTemp,Precip,Total,Temp_Range,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday
6-Jan,78.1,62.1,0,25441,15.999999999999993,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
6-Feb,73.9,60.1,0.01,23539,13.800000000000004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6-Mar,72,55,0.01,17393,17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
6-Apr,68,60.1,0.09,11978,7.899999999999999,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
6-May,66.9,60.1,0.02,15358,6.800000000000004,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6-Jun,55.9,53.1,0.06,10593,2.799999999999997,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
6-Jul,66.9,54,0,23095,12.900000000000006,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
6-Aug,68,59,0,23402,9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
6-Sep,80.1,59,0,23159,21.099999999999994,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6-Oct,84,68,0,19075,16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
6-Nov,90,73,0,15184,17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
6-Dec,91.9,77,0,21200,14.900000000000006,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Jun-13,93.9,78.1,1,21577,15.800000000000011,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Jun-14,84,69.1,0.29,19997,14.900000000000006,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Jun-15,75,66,0,26360,9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Jun-16,68,66,0,17168,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Jun-17,73,66.9,1.39,10448,6.099999999999994,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Jun-18,84,72,1,14510,12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Jun-19,87.1,70,1.35,13087,17.099999999999994,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Jun-20,82,72,0.03,24946,10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
