Reported road traffic crashes involving motorcycles/mopeds within Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal crashes: 1 January 2018 to 31 October 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-fatal casualty (hospitalisation, medical treatment and minor injury) crashes: 1 January 2018 to 31 May 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADT (as at the year of the crash) is provided at the road level (i.e. not recorded for a specific carriageway).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRASH_REF_NUMBER,CRASH_SEVERITY,CRASH_YEAR,CRASH_FIN_YEAR,CRASH_MONTH,CRASH_DAY_OF_WEEK,CRASH_HOUR,CRASH_LONGITUDE_GDA94,CRASH_LATITUDE_GDA94,CRASH_STREET,CRASH_STREET_INTERSECTING,CRASH_SUBURB,CRASH_LOCAL_GOVERNMENT_AREA,CRASH_TMR_PDO_REGION,CRASH_TMR_PDO_DISTRICT,CRASH_ROADSECTION_AUTHORITY,CRASH_ROADSECTION_ID,CRASH_ROADSECTION_NAME,CRASH_ROADSECTION_CARRIAGEWAY,CRASH_ROADSECTION_TDIST,CRASH_ROADSECTION_INTERSECTION_ID,CRASH_ROADSECTION_AADT_ROAD,CRASH_LANDMARK_DISTANCE,CRASH_LANDMARK_UNIT,CRASH_LANDMARK_DIRECTION,CRASH_LANDMARK_NAME,CRASH_LANDMARK_AREA,CRASH_SPEED_LIMIT_GROUP,CRASH_SPEED_LIMIT,CRASH_TYPE,CRASH_NATURE,CRASH_ROADWAY_FEATURE,CRASH_TRAFFIC_CONTROL,CRASH_ROAD_HORIZ_ALIGN,CRASH_ROAD_VERT_ALIGN,CRASH_LIGHTING_CONDITION,CRASH_ATMOSPHERIC_CONDITION,CRASH_ROAD_SURFACE_CONDITION,CRASH_DCA_KEY_APPROACH,CRASH_DCA_CODE,CRASH_DCA_DESCRIPTION,CRASH_DCA_GROUP_CODE,CRASH_DCA_GROUP_DESCRIPTION,CASUALTY_FATALITY,CASUALTY_HOSPITALISED,CASUALTY_MEDICALLY_TREATED,CASUALTY_MINOR_INJURY,CASUALTY_TOTAL,CRASH_FACTOR_UNRESTRAINED,CRASH_FACTOR_ALCOHOLDRUG_RELATED,CRASH_FACTOR_DRINK_DR,CRASH_FACTOR_ALCOHOL_IMPAIRED_PEDESTRIAN,CRASH_FACTOR_SPEEDING_DR,CRASH_FACTOR_FATIGUE_RELATED,CRASH_FACTOR_DISOBEY_ROADRULE_ALL_DR,CRASH_FACTOR_DISOBEY_ROADRULE_TRAFFIC_DR,CRASH_FACTOR_DISOBEY_ROADRULE_GIVEWAY_DR,CRASH_FACTOR_DISOBEY_ROADRULE_OTHER_DR,CRASH_FACTOR_CONTROLLER_CONDITION_DR,CRASH_FACTOR_YOUNGADULT_16_24_DR,CRASH_FACTOR_SENIORADULT_60_74_DR,CRASH_FACTOR_SENIORADULT_60+,CRASH_FACTOR_UNLICENSED_DR,CRASH_FACTOR_VEHICLE_UNREGISTERED,CRASH_FACTOR_VEHICLE_DEFECT,CRASH_FACTOR_UNIT_HFV,CRASH_FACTOR_UNIT_MOTORCYCLE_MOPED,CRASH_FACTOR_UNIT_MOTORCYCLE,CRASH_FACTOR_UNIT_MOPED,CRASH_FACTOR_UNIT_BUS,CRASH_FACTOR_ATMOSPHERIC_COND,CRASH_FACTOR_RAINWETSLIPPERY_COND,CRASH_FACTOR_ROAD_COND,CRASH_FACTOR_LIGHTING_COND
1,Hospitalisation,2018,2017-2018,January,Sunday,10,151.617084,-26.731899,Bunya Mountains Rd,,Alice Creek,South Burnett Region,Southern Queensland,Wide Bay/Burnett,State controlled,4161,BUNYA MOUNTAINS ROAD,1,56.44,,228,,,,,Alice Creek,80 - 90 km/h,80 km/h,Single vehicle,Fall from vehicle,Not applicable,No traffic control,Curved - view obscured,Grade,Daylight,Clear,Sealed - Dry,South,801,Off Path-Curve: Off Cway Right Bend,18,Off carriageway on curve,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
2,Hospitalisation,2018,2017-2018,January,Sunday,13,152.05536,-27.27361,New England Hwy,,Crows Nest,Toowoomba Region,Southern Queensland,Darling Downs,State controlled,22A,NEW ENGLAND HIGHWAY (YARRAMAN - TOOWOOMBA),1,75.44,,3190,,,,,Crows Nest,80 - 90 km/h,80 km/h,Single vehicle,Fall from vehicle,Not applicable,No traffic control,Straight,Grade,Daylight,Raining,Sealed - Wet,South,607,Veh'S On Path: Temporary Object On C'Way,21,Other,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0
3,Minor injury,2018,2017-2018,January,Sunday,18,152.956194,-27.297973,Paramount Dr,Vantage Ct,Warner,Moreton Bay Region,North Coast,North Coast,Locally controlled,,,,,,-,,,,,Warner,60 km/h,60 km/h,Single vehicle,Hit object,Intersection - T Junction,No traffic control,Straight,Level,Dawn/Dusk,Clear,Sealed - Dry,North,704,Off Path-Straight:Right Off Cway Hit Obj,16,Off carriageway on straight hit object,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
4,Fatal,2018,2017-2018,January,Sunday,11,151.951668,-25.44149,Gooroolba - Biggenden Rd,,Degilbo,North Burnett Region,Southern Queensland,Wide Bay/Burnett,State controlled,4706,GOOROOLBA - BIGGENDEN ROAD,1,23.57,,233,,,,,Coringa,100 - 110 km/h,100 km/h,Single vehicle,Hit object,Bridge/Causeway,Give way sign,Straight,Level,Daylight,Clear,Sealed - Dry,West,703,Off Path-Straight: Left Off Cway Hit Obj,16,Off carriageway on straight hit object,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
5,Hospitalisation,2018,2017-2018,January,Saturday,17,153.112395,-27.611027,Curban St,Kingston Rd,Underwood,Logan City,South Coast,South Coast,State controlled,204,BRISBANE - BEENLEIGH ROAD,3,2,13973,28688,,,,,Underwood,70 km/h,70 km/h,Multi-vehicle,Angle,Intersection - T Junction,Operating traffic lights,Straight,Level,Daylight,Clear,Sealed - Dry,North,207,Veh'S Opposite Approach: U-Turn,7,U-turn,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6,Medical treatment,2018,2017-2018,January,Monday,15,146.80893,-19.312917,Gartrell Dr,Stuart Dr,Idalia,Townsville City,North Queensland,Northern,State controlled,830,TOWNSVILLE CONNECTION ROAD,1,4.717,7835,15516,,,,,Idalia,70 km/h,70 km/h,Multi-vehicle,Angle,Intersection - T Junction,Give way sign,Straight,Level,Daylight,Clear,Sealed - Dry,North,104,Veh'S Adjacent Approach: Thru-Right,1,Intersection from adjacent approaches,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7,Hospitalisation,2018,2017-2018,January,Monday,14,152.595336,-25.575612,Mungar Rd,,Grahams Creek,Fraser Coast Region,Southern Queensland,Wide Bay/Burnett,State controlled,4807,MUNGAR ROAD,1,19.717,,948,,,,,Grahams Creek,100 - 110 km/h,100 km/h,Single vehicle,Fall from vehicle,Not applicable,No traffic control,Straight,Level,Daylight,Clear,Sealed - Dry,North,500,Veh'S Overtaking: Other,21,Other,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
8,Medical treatment,2018,2017-2018,January,Monday,12,153.47055,-28.135511,Sarawak Ave,,Elanora,Gold Coast City,South Coast,South Coast,Locally controlled,,,,,,-,,,,,Elanora,50 km/h,50 km/h,Single vehicle,Fall from vehicle,Not applicable,No traffic control,Straight,Level,Daylight,Raining,Sealed - Wet,East,705,Off Path-Straight:Out Of Control On Cway,17,Out of control on straight,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0
9,Fatal,2018,2017-2018,January,Monday,15,152.968165,-27.588086,Biota St,Deodar St,Inala,Brisbane City,Metropolitan,Metropolitan,Locally controlled,,,,,,-,,,,,Inala,50 km/h,50 km/h,Single vehicle,Hit object,Intersection - T Junction,No traffic control,Curved - view open,Level,Daylight,Clear,Sealed - Dry,West,803,Off Path-Curve: Off Cway Rt Bend Hit Obj,19,Off carriageway on curve hit object,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
10,Hospitalisation,2018,2017-2018,January,Thursday,7,153.3454043,-27.98220599,Old Coach Rd,,Molendinar,Gold Coast City,South Coast,South Coast,State controlled,106,SOUTHPORT - NERANG ROAD,3,7.12,11553,34882,,,,,Molendinar,70 km/h,70 km/h,Multi-vehicle,Sideswipe,Not applicable,No traffic control,Curved - view open,Level,Daylight,Clear,Sealed - Dry,East,305,Veh'S Same Direction: Lane Side Swipe,5,Lane changes,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
11,Minor injury,2018,2017-2018,January,Monday,15,153.047468,-27.580602,Beenleigh Rd,Jackson Rd,Sunnybank,Brisbane City,Metropolitan,Metropolitan,Locally controlled,,,,,,-,,,,,Sunnybank,60 km/h,60 km/h,Multi-vehicle,Angle,Intersection - Roundabout,Give way sign,Curved - view open,Level,Daylight,Clear,Sealed - Dry,West,104,Veh'S Adjacent Approach: Thru-Right,1,Intersection from adjacent approaches,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
12,Hospitalisation,2018,2017-2018,January,Tuesday,19,151.929768,-27.565873,Anzac Ave,James St,Newtown,Toowoomba Region,Southern Queensland,Darling Downs,State controlled,315,TOOWOOMBA CONNECTION ROAD,3,17.65,158,15805.5,,,,,Newtown,60 km/h,60 km/h,Multi-vehicle,Angle,Intersection - Cross,Operating traffic lights,Straight,Level,Darkness - Lighted,Clear,Sealed - Dry,North,202,Veh'S Opposite Approach: Thru-Right,3,Opposing vehicles turning,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
13,Hospitalisation,2018,2017-2018,January,Wednesday,6,153.129998,-27.444272,Canberra St,Lytton Rd  (1/95),Hemmant,Brisbane City,Metropolitan,Metropolitan,State controlled,904,PORT OF BRISBANE ROAD,1,3.3,12700,14313,,,,,Hemmant,60 km/h,60 km/h,Multi-vehicle,Angle,Intersection - Cross,Operating traffic lights,Straight,Level,Daylight,Clear,Sealed - Dry,North,202,Veh'S Opposite Approach: Thru-Right,3,Opposing vehicles turning,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
14,Hospitalisation,2018,2017-2018,January,Tuesday,18,152.934774,-27.327769,Eatons Crossing Rd,Lilley Rd,Eatons Hill,Moreton Bay Region,North Coast,North Coast,State controlled,4032,STRATHPINE - SAMFORD ROAD,1,2.887,8991,13154,,,,,Eatons Hill,80 - 90 km/h,80 km/h,Multi-vehicle,Angle,Intersection - T Junction,Give way sign,Curved - view open,Crest,Dawn/Dusk,Clear,Sealed - Dry,East,104,Veh'S Adjacent Approach: Thru-Right,1,Intersection from adjacent approaches,0,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
15,Medical treatment,2018,2017-2018,January,Thursday,8,152.896402,-27.5276849,Lucas Pl,,Pullenvale,Brisbane City,Metropolitan,Metropolitan,Locally controlled,,,,,,-,,,,,Pullenvale,50 km/h,50 km/h,Multi-vehicle,Sideswipe,Not applicable,No traffic control,Curved - view obscured,Grade,Daylight,Clear,Sealed - Dry,South,201,Veh'S Opposite Approach: Head On,2,Head-on,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
16,Hospitalisation,2018,2017-2018,January,Thursday,12,152.93703,-26.49879,Bunya Rd,,North Arm,Sunshine Coast Region,North Coast,North Coast,Locally controlled,,,,,,-,,,,,North Arm,80 - 90 km/h,80 km/h,Multi-vehicle,Angle,Other,No traffic control,Curved - view open,Grade,Daylight,Clear,Sealed - Dry,South,406,Veh'S Manoeuvring: Leaving Driveway,8,Vehicle leaving driveway,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
17,Fatal,2018,2017-2018,February,Monday,18,152.8734454,-27.63625106,Redbank Plains Rd (02/13),,Bellbird Park,Ipswich City,Metropolitan,Metropolitan,Locally controlled,,,,,,-,,,,,Redbank Plains,60 km/h,60 km/h,Multi-vehicle,Sideswipe,Other,No traffic control,Straight,Grade,Dawn/Dusk,Clear,Sealed - Dry,North,202,Veh'S Opposite Approach: Thru-Right,3,Opposing vehicles turning,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1
18,Medical treatment,2018,2017-2018,February,Tuesday,7,153.03427,-27.459217,Kemp Pl,Marshall St,Fortitude Valley,Brisbane City,Metropolitan,Metropolitan,Locally controlled,,,,,,-,,,,,Fortitude Valley,50 km/h,50 km/h,Multi-vehicle,Angle,Intersection - Interchange,No traffic control,Curved - view open,Level,Daylight,Clear,Sealed - Dry,South,309,Veh'S Same Direction: Left Turn S/Swipe,6,Parallel lanes turning,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19,Fatal,2018,2017-2018,February,Tuesday,12,146.760828,-19.315567,Angus Smith Dr,Tennant St,Douglas,Townsville City,North Queensland,Northern,State controlled,837,ANGUS SMITH DRIVE CONNECTION ROAD,2,0.305,10318,17293,,,,,Douglas,60 km/h,60 km/h,Single vehicle,Fall from vehicle,Intersection - Cross,Give way sign,Straight,Level,Daylight,Clear,Sealed - Dry,East,101,Veh'S Adjacent Approach: Thru-Thru,1,Intersection from adjacent approaches,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
20,Hospitalisation,2018,2017-2018,February,Tuesday,19,153.034051,-27.421379,Chalk St,Lutwyche Rd,Lutwyche,Brisbane City,Metropolitan,Metropolitan,Locally controlled,,,,,,-,,,,,Lutwyche,60 km/h,60 km/h,Multi-vehicle,Angle,Intersection - T Junction,Operating traffic lights,Straight,Level,Daylight,Clear,Sealed - Dry,North,202,Veh'S Opposite Approach: Thru-Right,3,Opposing vehicles turning,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
21,Hospitalisation,2018,2017-2018,February,Tuesday,20,153.026553,-27.461163,Boundary St,St Pauls Tce,Spring Hill,Brisbane City,Metropolitan,Metropolitan,Locally controlled,,,,,,-,,,,,Spring Hill,50 km/h,50 km/h,Multi-vehicle,Rear-end,Intersection - Cross,Operating traffic lights,Curved - view open,Level,Darkness - Lighted,Raining,Sealed - Wet,South,303,Veh'S Same Direction: Right Rear,4,Rear-end,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
22,Hospitalisation,2018,2017-2018,February,Wednesday,11,148.664905,-20.272311,Paluma Rd,,Woodwark,Whitsunday Region,Central Queensland,Mackay/Whitsunday,Locally controlled,,,,,,-,,,,,Woodwark,60 km/h,60 km/h,Single vehicle,Fall from vehicle,Not applicable,No traffic control,Curved - view obscured,Grade,Daylight,Clear,Sealed - Dry,North,805,Off Path-Curve: Out Of Control On Cway,20,Out of control on curve,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0
