iteration,incumbent_aic,incumbent_bic,incumbent_MAE,incumbent_MSE,incumbent_MAE_TEST,incumbent_MSE_TEST,incumbent_MAE_VAL,incumbent_MSE_VAL,incumbent_RMSE_VAL,incumbent_RMSE_TEST,incumbent_RMSE,incumbent_sol_num,incumbent_num_parm,incumbent_pval_exceed,incumbent_pval_percentage,incumbent_loglik,incumbent_simple,incumbent_CAIC,incumbent_DIC,incumbent_HQIC,incumbent_AICc,best_aic,best_bic,best_MAE,best_MSE,best_MAE_TEST,best_MSE_TEST,best_MAE_VAL,best_MSE_VAL,best_RMSE_VAL,best_RMSE_TEST,best_RMSE,best_sol_num,best_num_parm,best_pval_exceed,best_pval_percentage,best_loglik,best_CAIC,best_DIC,best_HQIC,best_AICc
1,65042.2262861319,65252.65791134407,1.048087108195238,1.1559647661564822,1.053183014878939,1.1628845652750008,10000000.0,10000000.0,10000000.0,1.0783712557718705,1.0751580191564782,21,39,39,1.0,-32482.11314306595,f_p,65233.19736506519,65109.29267953035,65114.83613667593,65045.51742537241,59361.01468338065,59574.70350234637,0.9455384257087112,0.9447553758658934,0.9491771193546885,0.9483548925644738,10000000.0,10000000.0,10000000.0,0.9716395049931122,0.96981309304135,10.5,39.65,39.15,0.9874102711248153,-29640.857341690327,59555.168613629496,59429.198850002394,59434.834698100414,59364.443145963465
2,62901.18564338791,63121.90863399557,1.0091202899428364,1.0721027667577958,1.017426975198728,1.0854601539444624,10000000.0,10000000.0,10000000.0,1.0418541903474126,1.0354239550820696,22,41,40,0.975609756097561,-31409.592821693954,f_nb,63101.95011098444,62971.691339011915,62977.519076011115,62904.82623535408,59270.5480396996,59485.85556347463,0.9440029926858191,0.9415558103913257,0.9478606878536775,0.945634976373805,10000000.0,10000000.0,10000000.0,0.9703501370462758,0.9682904338265411,10.75,39.95,39.45,0.9876193303582645,-29595.324019849802,59466.170978247945,59339.2481016552,59344.926591731244,59274.02617893956
3,67800.68594921658,68021.40893982425,1.0559099326421006,1.169142960158618,1.0642843695209436,1.1831376656908248,10000000.0,10000000.0,10000000.0,1.087721318027198,1.0812691432564874,23,41,40,0.975609756097561,-33859.34297460829,f_nb,68001.45041681311,67871.1916448406,67877.0193818398,67804.32654118276,59270.5480396996,59485.85556347463,0.9440029926858191,0.9415558103913257,0.9478606878536775,0.945634976373805,10000000.0,10000000.0,10000000.0,0.9703501370462758,0.9682904338265411,10.75,39.95,39.45,0.9876193303582645,-29595.324019849802,59466.170978247945,59339.2481016552,59344.926591731244,59274.02617893956
4,59379.538933983014,59605.65760728843,0.9603092374553999,0.9721017246557361,0.9601136035668518,0.9678889767650376,10000000.0,10000000.0,10000000.0,0.9838134867773656,0.985952191871257,24,42,41,0.9761904761904762,-29647.769466991507,f_nb,59585.20009591117,59451.764280719806,59457.73415764581,59383.36115620524,59023.87551226921,59239.183036044225,0.9413284197406941,0.936080048794963,0.9449478521066101,0.9396705574806976,10000000.0,10000000.0,10000000.0,0.9674069127531795,0.9655876358115336,11.45,39.95,39.45,0.987619330358265,-29471.987756134604,59219.498450817555,59092.5755742248,59098.254064300854,59027.35365150917
5,55424.77497897313,55650.893652278544,0.8832328163716163,0.8194780410719388,0.8865217234808117,0.8223822448007404,10000000.0,10000000.0,10000000.0,0.9068529344941992,0.9052502643313277,25,42,41,0.9761904761904762,-27670.387489486566,f_nb,55630.436140901285,55497.00032570992,55502.97020263593,55428.597201195356,58590.478028223115,58805.51576786325,0.9338651548985732,0.9210226409811577,0.9373559033238348,0.9243473462959798,10000000.0,10000000.0,10000000.0,0.9596259661201568,0.9579203323519568,12.45,39.9,39.4,0.987591644865463,-29255.33901411156,58785.85613205486,58659.09210762306,58664.76349070277,58593.946854845366
6,57444.593116852666,57676.10747285582,0.9159760411859234,0.8830168373870602,0.9229663883197988,0.8933220021260139,10000000.0,10000000.0,10000000.0,0.9451571309184594,0.9396897559232303,26,43,42,0.9767441860465116,-28679.296558426333,f_nb,57655.150973112446,57518.538114702234,57524.650131555056,57448.60159142894,58314.69098663613,58531.86199935537,0.9289925464222926,0.9112093472405146,0.9328303871442974,0.9152248342876144,10000000.0,10000000.0,10000000.0,0.9550241022104766,0.9529605540497338,13.55,40.3,39.75,0.9864288541677885,-29117.045493318066,58512.02776820054,58383.9929264812,58389.72116553163,58318.227884046035
7,55936.518578263844,56135.65883808051,0.9473147728152198,0.9446709041961313,0.9539588982749979,0.9539870088183253,10000000.0,10000000.0,10000000.0,0.9767225853937879,0.971941821405032,27,37,36,0.972972972972973,-27931.259289131922,f_nb,56117.69626853389,56000.14566943673,56005.40484672869,55939.47857826384,57966.45763337993,58182.54950955963,0.9259022705659117,0.9048377541124315,0.929656983298111,0.9086511770313075,10000000.0,10000000.0,10000000.0,0.9517675219627953,0.9497864473658819,13.8,40.1,39.55,0.9862970150115593,-28943.128816689965,58162.815076078,58035.415643002445,58041.11545406751,57969.96050119151
8,56990.702032521156,57179.050926942335,0.9170070657984241,0.8872774298537179,0.924911441711929,0.8992215861453163,10000000.0,10000000.0,10000000.0,0.9482729491793574,0.9419540486954329,28,35,34,0.9714285714285714,-28460.351016260578,f_nb,57162.086334127955,57050.88982146848,57055.86471890682,56993.34909134469,57735.15680752097,57950.43933129602,0.9215336474803284,0.8961371144191901,0.925777233654407,0.9009219930084671,10000000.0,10000000.0,10000000.0,0.9478536605546333,0.9453746792219689,14.4,39.95,39.4,0.986184233056672,-28827.628403760486,57930.77974606932,57803.85686947657,57809.53535955262,57738.635863890195
9,65796.8795152657,65985.22840968687,1.0592711514863864,1.1779771131745205,1.061005672512078,1.177528760506977,10000000.0,10000000.0,10000000.0,1.0851399727717053,1.085346540591769,29,35,34,0.9714285714285714,-32863.43975763285,f_nb,65968.2638168725,65857.06730421302,65862.04220165136,65799.52657408922,57735.15680752097,57950.43933129602,0.9215336474803284,0.8961371144191901,0.925777233654407,0.9009219930084671,10000000.0,10000000.0,10000000.0,0.9478536605546333,0.9453746792219689,14.4,39.95,39.4,0.986184233056672,-28827.628403760486,57930.77974606932,57803.85686947657,57809.53535955262,57738.635863890195
10,72309.88353027972,72520.31515549189,1.173668426629326,1.435666752319601,1.1851269972418839,1.4583601420706083,10000000.0,10000000.0,10000000.0,1.2076258286698776,1.1981931197931328,30,39,39,1.0,-36115.94176513986,f_p,72500.85460921301,72376.94992367817,72382.49338082375,72313.17466952023,57735.15680752097,57950.43933129602,0.9215336474803284,0.8961371144191901,0.925777233654407,0.9009219930084671,10000000.0,10000000.0,10000000.0,0.9478536605546333,0.9453746792219689,14.4,39.95,39.4,0.986184233056672,-28827.628403760486,57930.77974606932,57803.85686947657,57809.53535955262,57738.635863890195
