Iteration,Family,BIC,Val RMSE,Upper Vars,Lower Vars
1129,nb,1147.8217591051366,16.25762139159641,"FC_1, MIMEDSH_Z",MXMEDSH_Z
1056,nb,1148.7172359124972,16.56321826574895,"FC_1, MXMEDSH_Z",MIMEDSH_Z
874,nb,1148.934245572892,16.872540184989926,"FC_1, INTECHAG_Z, MIMEDSH_Z",MXMEDSH_Z
1018,nb,1149.091798096443,16.268427163195266,"FC_1, MIMEDSH_Z, TANGENT_Z",MXMEDSH_Z
1009,nb,1149.8560126570144,16.937819330410363,"FC_1, INTECHAG_Z","MIMEDSH_Z, MXMEDSH_Z"
963,nb,1149.8686649830352,16.889758502910112,"FC_1, INTECHAG_Z, MIMEDSH_Z","CURVES_Z, MXMEDSH_Z"
1039,nb,1149.8961848208835,16.930761756969225,"CURVES_Z, FC_1, INTECHAG_Z, MIMEDSH_Z",MXMEDSH_Z
1107,nb,1149.9549760796515,16.873094462375157,"MIMEDSH_Z, TANGENT_Z",MXMEDSH_Z
1143,nb,1150.000216831178,17.11117104323893,"FC_1, INTECHAG_Z, MXMEDSH_Z",MIMEDSH_Z
1176,nb,1150.0407145108657,16.651766745918664,"MIMEDSH_Z, MXMEDSH_Z, TANGENT_Z",MIMEDSH_Z
