Parameter,Model term,Literature benchmark coefficient,Proposed fixed coefficient,Proposed random distribution,Proposed random mean,Proposed random sd
Average Annual Precipitation (in/yr) x log(AADT),lower::AVEPRE_Z*log_aadt,,0.0043576034281290485,,,
Average Longitudinal Slope (%),upper::SLOPE_Z,,-1.5021923736983958,,,
Average Longitudinal Slope (%) x log(AADT),lower::SLOPE_Z*log_aadt,,0.15370289570882642,,,
Exposure Index,upper::EXPOSE_Z,-0.06638563299979691,,,,
Grade-Break Rate per Mile,upper::GBRPM_Z,0.011866793934524111,0.02599856397851985,,,
High-Snow Days per Year (snowfall > 1 in/day),upper::HISNOW,0.21223060735113744,,,,
Horizontal Curve Density (curves per mile),upper::CPM_Z,0.0612995917116906,,,,
Intercept,const,-8.227983683000344,-6.718771576913614,,,
Intersection Density (intersections per mile),upper::INTPM_Z,-0.027817466529745417,,,,
Lane Width (ft),upper::WIDTH_Z,,-0.017248289978220803,,,
Low-Precipitation Days per Year (precip < 1.5 in/month),upper::LOWPRE,-0.12462980875512629,,,,
Maximum Median Shoulder Width (ft) x log(AADT),lower::MXMEDSH_Z*log_aadt,,0.004535742183501893,,,
Median Width (ft),upper::MEDWIDTH_Z,,0.02223122723129324,,,
Minimum Vertical Grade (%),upper::MIGRADE_Z,,-0.06642544968140543,,,
Number of Horizontal Curves (count),upper::CURVES_Z,,-0.025426873484540886,,,
"Pavement Friction, Skid Number (higher = more grip)",upper::FRICTION_Z,0.015220168910541409,,,,
Posted Speed Limit (mph),upper::SPEED_Z,,-0.015220954666968291,,,
log(AADT),log_aadt,,0.8516712428611302,,,
