Iteration,Family,Upper Vars,Lower Vars,Val RMSE,BIC,Pareto Efficient,Beats benchmark (BIC+RMSE),BIC improvement vs benchmark,RMSE improvement vs benchmark,Joint improvement score,Selected by Pareto
1278,nb,"CPM_Z, GBRPM_Z, SLOPE_Z, WIDTH_Z","AVEPRE_Z, SLOPE_Z",14.212903221624885,1184.4057047110573,True,True,0.009049442411651534,0.19390333428603113,0.009049442411651534,True
1129,nb,"FC_1, MIMEDSH_Z",MXMEDSH_Z,16.25762139159641,1147.8217591051366,True,True,0.039657941807399566,0.07793543712684822,0.039657941807399566,False
2203,nb,"FC_1, MIMEDSH_Z",MXMEDSH_Z,16.25762139159641,1147.8217591051366,True,True,0.039657941807399566,0.07793543712684822,0.039657941807399566,False
1137,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z, TANGENT_Z",MIMEDSH_Z,16.24112749839789,1150.5687006608302,True,True,0.037359672510443344,0.07887090204240035,0.037359672510443344,False
935,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",MIMEDSH_Z,16.181199109236367,1150.7157985478395,True,True,0.037236600886782524,0.08226979063901113,0.037236600886782524,False
2206,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z",MIMEDSH_Z,16.181199109236367,1150.7157985478395,True,True,0.037236600886782524,0.08226979063901113,0.037236600886782524,False
2221,nb,"FC_1, MIMEDSH_Z","MIMEDSH_Z, MXMEDSH_Z",15.991711236206315,1151.3432247727194,True,True,0.036711655452192675,0.09301675346996566,0.036711655452192675,False
2065,nb,"ACCESS_Z, FC_1, MIMEDSH_Z","MIMEDSH_Z, MXMEDSH_Z",15.974418371265356,1155.7046559316727,True,True,0.03306259954030615,0.09399753273456657,0.03306259954030615,False
2067,nb,"ACCESS_Z, FC_1, MIMEDSH_Z","MEDWIDTH_Z, MIMEDSH_Z, MXMEDSH_Z",15.965315829749342,1160.8075735888517,True,True,0.028793167978472735,0.09451379097197005,0.028793167978472735,False
146,nb,"MIGRADE_Z, SLOPE_Z",SLOPE_Z,15.550080034211664,1176.01973422615,True,True,0.016065688698615924,0.11806423559603063,0.016065688698615924,False
1280,nb,"GBRPM_Z, SLOPE_Z, WIDTH_Z","AVEPRE_Z, SLOPE_Z",14.57906352336525,1180.4258397157064,True,True,0.012379255347018524,0.17313624724215096,0.012379255347018524,False
1416,poisson,"ACCESS_Z, AVEPRE_Z, FC_2, INTECHAG_Z, LOWPRE, SLOPE_Z, WIDTH_Z","LANES_Z, SLOPE_Z, WIDTH_Z",14.190511623549899,1780.0913635078878,True,False,,,,False
550,poisson,"AVESNOW_Z, EXPOSE_Z, FC_1, FC_2, FRICTION_Z, GRADEBR_Z, MXMEDSH_Z, SLOPE_Z","HISNOW, SLOPE_Z",14.050757448056173,1845.1281622379456,True,False,,,,False
575,poisson,"AVEPRE_Z, FC_2, GBRPM_Z, INTPM_Z, MIGRADE_Z, MINRAD_Z, MXGRADE_Z, SLOPE_Z, SPEED_Z, URB","AVEPRE_Z, CURVES_Z, SLOPE_Z, URB",13.28431937020816,1855.0527325400647,True,False,,,,False
330,poisson,"AVESNOW_Z, CURVES_Z, FC_1, FRICTION_Z, SLOPE_Z, SPEED_Z, TANGENT_Z, URB, WIDTH_Z","LANES_Z, SLOPE_Z",13.069671607745562,1870.9353580322002,True,False,,,,False
1056,nb,"FC_1, MXMEDSH_Z",MIMEDSH_Z,16.56321826574895,1148.7172359124972,False,True,,,,False
2076,nb,"FC_1, MXMEDSH_Z",MIMEDSH_Z,16.56321826574895,1148.7172359124972,False,True,,,,False
874,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z",MXMEDSH_Z,16.872540184989926,1148.934245572892,False,True,,,,False
1018,nb,"FC_1, MIMEDSH_Z, TANGENT_Z",MXMEDSH_Z,16.268427163195266,1149.091798096443,False,True,,,,False
1009,nb,"FC_1, INTECHAG_Z","MIMEDSH_Z, MXMEDSH_Z",16.937819330410363,1149.8560126570144,False,True,,,,False
963,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z","CURVES_Z, MXMEDSH_Z",16.889758502910112,1149.8686649830352,False,True,,,,False
1039,nb,"CURVES_Z, FC_1, INTECHAG_Z, MIMEDSH_Z",MXMEDSH_Z,16.930761756969225,1149.8961848208835,False,True,,,,False
1107,nb,"MIMEDSH_Z, TANGENT_Z",MXMEDSH_Z,16.873094462375157,1149.9549760796515,False,True,,,,False
1143,nb,"FC_1, INTECHAG_Z, MXMEDSH_Z",MIMEDSH_Z,17.11117104323893,1150.000216831178,False,True,,,,False
1176,nb,"MIMEDSH_Z, MXMEDSH_Z, TANGENT_Z",MIMEDSH_Z,16.651766745918664,1150.0407145108657,False,True,,,,False
910,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z, MXMEDSH_Z",CURVES_Z,17.103743367111186,1150.0805460236263,False,True,,,,False
