Component,Variable,Full Name,Coefficient,CMF
Core,Intercept,Intercept,-6.71877,
Core,log(AADT),log(AADT) Elasticity,0.85167,
Upper (AADT-independent),CURVES,Number of Horizontal Curves (count),-0.07664,0.9749
Upper (AADT-independent),GBRPM,Grade-Break Rate per Mile,0.04461,1.0263
Upper (AADT-independent),MEDWIDTH,Median Width (ft),0.03152,1.0225
Upper (AADT-independent),MIGRADE,Minimum Vertical Grade (%),-0.07145,0.9357
Upper (AADT-independent),SLOPE,Average Longitudinal Slope (%),-1.21861,0.2226
Upper (AADT-independent),SPEED,Posted Speed Limit (mph),-0.0851,0.9849
Upper (AADT-independent),WIDTH,Lane Width (ft),-0.27837,0.9829
Lower (AADT interaction),AVEPRE,Average Annual Precipitation (in/yr),0.01022,varies with AADT
Lower (AADT interaction),MXMEDSH,Maximum Median Shoulder Width (ft),0.01113,varies with AADT
Lower (AADT interaction),SLOPE,Average Longitudinal Slope (%),0.12469,varies with AADT
