Iteration,Family,Phase,Upper Vars,Lower Vars,Val Poisson Dev,Val RMSE,AIC,BIC,AADT elasticity min,AADT elasticity p10,AADT elasticity median,AADT elasticity p90,AADT elasticity share positive,Monotonic AADT OK
112,poisson,random,"CPM_Z, CURVES_Z, FC_Z, GRADEBR_Z, LANES_Z, MEDWIDTH_Z, MIGRADE_Z, PEAKHR_Z, SLOPE_Z, SPEED_Z",SLOPE_Z,508.3524789456321,13.29438477345854,1826.085695846031,1866.4629870067386,0.7480882792137962,0.7480882792137962,0.7480882792137962,1.088469087718233,1.0,yes
512,poisson,random,"CPM_Z, CURVES_Z, MEDWIDTH_Z, MXMEDSH_Z, SINGLE_Z, SLOPE_Z, TANGENT_Z, TRAIN_Z, WIDTH_Z","PEAKHR_Z, SLOPE_Z, SPEED_Z, WIDTH_Z",514.4740030053744,13.449881033800926,1792.2673843373977,1838.8565664459065,0.596551472496393,0.6009897584610575,0.7462483087694154,1.0712350575558074,1.0,yes
80,nb,random,"ACCESS_Z, AVESNOW_Z, FC_Z, HISNOW, INTPM_Z, LOWPRE, TRAIN_Z, WIDTH_Z","MXMEDSH_Z, WIDTH_Z",530.6112578226381,15.827280556482862,1148.723489013803,1189.1007801745104,0.6792129226838697,0.6792129226838697,0.6792129226838697,1.0213077336874106,1.0,yes
559,poisson,random,"ACCESS_Z, AVESNOW_Z, CPM_Z, CURVES_Z, DOUBLE_Z, INTECHAG_Z, LANES_Z, PEAKHR_Z, SLOPE_Z, SPEED_Z",SLOPE_Z,532.7303438171059,13.651832124277604,1835.6456720464219,1876.0229632071294,0.579363163277466,0.579363163277466,0.579363163277466,0.9295598125666658,1.0,yes
356,poisson,random,"DOUBLE_Z, FC_Z, FRICTION_Z, HISNOW, LOWPRE, MEDWIDTH_Z, MINRAD_Z, PEAKHR_Z, SLOPE_Z, URB","PEAKHR_Z, SLOPE_Z",532.7320241205904,14.323620336816894,1774.4465125833335,1817.9297492179417,0.41012226594235524,0.5228102741230922,0.7224838313492262,1.2023374989275792,1.0,yes
499,poisson,random,"AVEPRE_Z, AVESNOW_Z, GRADEBR_Z, LOWPRE, MINRAD_Z, MXGRDIFF_Z, MXMEDSH_Z, PEAKHR_Z, SLOPE_Z, WIDTH_Z","PEAKHR_Z, SLOPE_Z, SPEED_Z",534.9021273215924,15.291985777991206,1750.690015836354,1797.2791979448627,0.4619646085554985,0.5369842671752608,0.6768147702099393,1.0497293604089135,1.0,yes
513,poisson,random,"ACCESS_Z, EXPOSE_Z, INTPM_Z, SINGLE_Z, SLOPE_Z, TRAIN_Z","ACCESS_Z, SLOPE_Z",539.0020929611753,13.518195949430744,1860.1003308078882,1891.159785546894,0.5800522441957061,0.5800522441957061,0.5800522441957061,1.013410578856074,1.0,yes
258,poisson,random,"AVESNOW_Z, MXGRDIFF_Z, SLOPE_Z, SPEED_Z, URB","AVESNOW_Z, MINRAD_Z, SLOPE_Z",542.7696871277175,14.274569570933286,1782.012692316624,1813.0721470556298,-0.31455910261455594,0.3460403466711408,0.8380557565146372,1.106464612742589,0.9636363636363636,no
390,poisson,random,"HISNOW, MEDWIDTH_Z, MIGRADE_Z, MINRAD_Z, MXMEDSH_Z, PEAKHR_Z, SLOPE_Z, TANGENT_Z, URB","ACCESS_Z, SLOPE_Z",547.3081358368422,15.233468464822886,1831.130865965386,1871.5081571260935,0.6612960463979011,0.6612960463979011,0.6612960463979011,1.080379191673198,1.0,yes
98,nb,random,"AVESNOW_Z, CPM_Z, FC_Z, LANES_Z, MIGRADE_Z, PEAKHR_Z, SLOPE_Z, SPEED_Z","ACCESS_Z, HISNOW, LANES_Z, MXMEDSH_Z",554.1866962363126,16.84590045293662,1150.2119744761876,1196.8011565846964,0.8019897140218939,0.8223091752400651,0.8373477513407143,1.1567775687200335,1.0,yes
