Iteration,Upper Vars,Lower Vars,Val Poisson Dev,Val RMSE,AIC,BIC,AADT elasticity min,AADT elasticity p10,AADT elasticity median,AADT elasticity p90,AADT elasticity share positive,Monotonic AADT OK
6,"ACCESS_Z, LENGTH_Z, MXGRADE_Z, MXMEDSH_Z","DECLANES_Z, SLOPE_Z",12188719.480850616,581065.3787001639,1638.8699224398133,1666.8234317049184,0.3627325994787443,0.4467687550352769,0.5143648206784959,0.5225848656351527,1.0,yes
12,"LENGTH_Z, SINGLE_Z, URB","AVESNOW_Z, CURVES_Z, INCLANES_Z, SPEED_Z",12621999.115106933,639072.7541289121,1641.0612599481824,1672.1207146871882,0.49917993619568485,0.5494690934545294,0.5941622051652578,0.6398217911945908,1.0,yes
16,"GRADEBR_Z, LENGTH_Z, SPEED_Z","FRICTION_Z, INCLANES_Z",14700960.45848285,679473.5544728622,1638.2947678069825,1663.1423315981872,0.5338966303975692,0.548811759443936,0.5835310285576616,0.6131834676181288,1.0,yes
1,LENGTH_Z,SPEED_Z,14809205.05615675,656188.2799610809,1634.7713555025289,1650.3010828720319,0.4167187397206536,0.4283152763937404,0.4399118130668272,0.4399118130668272,1.0,yes
3,"GRADEBR_Z, MIMEDSH_Z, SLOPE_Z, TANGENT_Z, WIDTH_Z","AVESNOW_Z, CURVES_Z, HISNOW, INCLANES_Z, SLOPE_Z",284627903.12535036,12117565.015408315,1698.1609899307723,1738.5382810914798,-1.1376648542534342,-0.7209380838175344,-0.3182766911262898,-0.145205521771681,0.03636363636363636,no
15,"EXPOSE_Z, GRADEBR_Z, MEDWIDTH_Z, MINRAD_Z, MXMEDSH_Z, SPEED_Z","CURVES_Z, DECLANES_Z, SPEED_Z",412193227.2184695,16703664.244270446,1707.8355481768563,1745.1068938636631,-0.36657321480993205,-0.09557358685130082,0.23212942578132228,0.35399949362507793,0.6181818181818182,no
10,"INTPM_Z, MXGRADE_Z, WIDTH_Z","AVESNOW_Z, CURVES_Z, FRICTION_Z, HISNOW, SPEED_Z",460004665.242144,17442361.94506007,1720.1716780523504,1754.3370782652569,-0.8641788375436793,-0.7739856042859499,-0.6705612930730592,-0.5035479639114306,0.0,no
14,"CURVES_Z, EXPOSE_Z, MXGRDIFF_Z, PEAKHR_Z, URB","AVEPRE_Z, DECLANES_Z",768805319.142453,37483818.090597205,1716.6496287661603,1747.709083505166,0.4139984795118785,0.5524802182709138,0.6293027627512807,0.6939342247236795,1.0,yes
7,"AVESNOW_Z, LOWPRE, SPEED_Z","AVESNOW_Z, CURVES_Z, DECLANES_Z, FRICTION_Z",782291873.9920229,33907734.25321691,1722.2412099409123,1753.300664679918,-0.7533021812193641,-0.6728747192770353,-0.4580618914660861,0.3433581248912192,0.12727272727272726,no
8,"CPM_Z, SLOPE_Z","AVEPRE_Z, CURVES_Z, FRICTION_Z, INCLANES_Z, SLOPE_Z",867918567.8157631,48942531.24021025,1716.3864975750128,1747.4459523140185,-0.4221824227987445,-0.15822652761831135,0.2762292580895105,0.5441240885337122,0.8545454545454545,no
9,ACCESS_Z,"AVEPRE_Z, CURVES_Z, DECLANES_Z",1219169130.60214,65711528.72913487,1716.818751753813,1738.5603700711172,-0.22261838488024205,-0.04324046019136356,0.03344730030231934,0.25923586435874607,0.7454545454545455,no
4,"CURVES_Z, DECLANES_Z, DOUBLE_Z, MIMEDSH_Z",AVESNOW_Z,1397586601.4351754,60111251.60790592,1723.002966420765,1747.8505302119697,0.03142427520063221,0.11468479444764346,0.16963369289036934,0.1780054087195935,1.0,yes
5,"ACCESS_Z, CURVES_Z",(none),1558526068.517261,71062234.87370683,1720.8279386971528,1736.3576660666558,-0.38556884241436123,-0.38556884241436123,-0.38556884241436123,-0.38556884241436123,0.0,no
17,"INCLANES_Z, LOWPRE, MIGRADE_Z, MXGRDIFF_Z",AVESNOW_Z,1846971547.5497866,65039014.26841386,1764.0242157183354,1788.8717795095401,0.0958164814183921,0.0958164814183921,0.09759535856268836,0.10927126127343295,1.0,yes
2,(none),(none),9043380803.19556,386211166.8137664,1765.5233957130108,1774.8412321347125,-0.2747290859329125,-0.2747290859329125,-0.2747290859329125,-0.2747290859329125,0.0,no
13,"ACCESS_Z, MXMEDSH_Z",(none),10614731949.546263,500037792.93734324,1762.9460792629334,1778.4758066324364,-0.3190749154105254,-0.3190749154105254,-0.3190749154105254,-0.3190749154105254,0.0,no
11,"MEDWIDTH_Z, MXGRADE_Z, WIDTH_Z","DECLANES_Z, INCLANES_Z, SPEED_Z",12547705003.370192,639970631.6232582,1767.299415213224,1795.252924478329,-0.05559620597922739,0.10072012966903506,0.2536283250491584,0.31383212753496437,0.9636363636363636,no
