=====================================================
SIMULATED ANNEALING SEARCH STATISTICS
=====================================================
Algorithm : sa
Seed      : 0
Config ID : 0
Runtime   : 107.14 seconds
Iterations: 335
=====================================================

Iter | Temp | Best | ArchiveSize
------------------------------------------
   0 | 572938.5276 |  4229.561134 |          1
   1 | 570073.8350 |  4229.561134 |          1
   2 | 567223.4658 |  4229.561134 |          1
   3 | 564387.3485 |  2381.243805 |          1
   4 | 561565.4117 |  2381.243805 |          1
   5 | 558757.5847 |  2381.243805 |          1
   6 | 555963.7967 |  2381.243805 |          1
   7 | 553183.9778 |  2381.243805 |          1
   8 | 550418.0579 |  2381.243805 |          1
   9 | 547665.9676 |  2381.243805 |          1
  10 | 544927.6377 |  2381.243805 |          1
  11 | 542202.9995 |  2381.243805 |          1
  12 | 539491.9845 |  2381.243805 |          1
  13 | 536794.5246 |  2381.243805 |          1
  14 | 534110.5520 |  2381.243805 |          1
  15 | 531439.9992 |  2381.243805 |          1
  16 | 528782.7992 |  2381.243805 |          1
  17 | 526138.8852 |  2381.243805 |          1
  18 | 523508.1908 |  2381.243805 |          1
  19 | 520890.6499 |  2381.243805 |          1
  20 | 518286.1966 |  2381.243805 |          1
  21 | 515694.7656 |  2381.243805 |          1
  22 | 513116.2918 |  2381.243805 |          1
  23 | 510550.7103 |  2381.243805 |          1
  24 | 507997.9568 |  2381.243805 |          1
  25 | 505457.9670 |  2381.243805 |          1
  26 | 502930.6772 |  2381.243805 |          1
  27 | 500416.0238 |  2381.243805 |          1
  28 | 497913.9437 |  2381.243805 |          1
  29 | 495424.3740 |  2381.243805 |          1
  30 | 492947.2521 |  2381.243805 |          1
  31 | 490482.5158 |  2381.243805 |          1
  32 | 488030.1032 |  2381.243805 |          1
  33 | 485589.9527 |  2381.243805 |          1
  34 | 483162.0030 |  2381.243805 |          1
  35 | 480746.1930 |  2381.243805 |          1
  36 | 478342.4620 |  2381.243805 |          1
  37 | 475950.7497 |  2381.243805 |          1
  38 | 473570.9959 |  2381.243805 |          1
  39 | 471203.1409 |  2381.243805 |          1
  40 | 468847.1252 |  2381.243805 |          1
  41 | 466502.8896 |  2381.243805 |          1
  42 | 464170.3752 |  2381.243805 |          1
  43 | 461849.5233 |  2381.243805 |          1
  44 | 459540.2757 |  2381.243805 |          1
  45 | 457242.5743 |  2381.243805 |          1
  46 | 454956.3614 |  2381.243805 |          1
  47 | 452681.5796 |  2381.243805 |          1
  48 | 450418.1717 |  2381.243805 |          1
  49 | 448166.0809 |  2381.243805 |          1
  50 | 445925.2505 |  2381.243805 |          1
  51 | 443695.6242 |  2381.243805 |          1
  52 | 441477.1461 |  2381.243805 |          1
  53 | 439269.7604 |  2381.243805 |          1
  54 | 437073.4116 |  2381.243805 |          1
  55 | 434888.0445 |  2381.243805 |          1
  56 | 432713.6043 |  2381.243805 |          1
  57 | 430550.0363 |  2381.243805 |          1
  58 | 428397.2861 |  2381.243805 |          1
  59 | 426255.2996 |  2381.243805 |          1
  60 | 424124.0231 |  2381.243805 |          1
  61 | 422003.4030 |  2381.243805 |          1
  62 | 419893.3860 |  2381.243805 |          1
  63 | 417793.9191 |  2381.243805 |          1
  64 | 415704.9495 |  2381.243805 |          1
  65 | 413626.4247 |  2381.243805 |          1
  66 | 411558.2926 |  2381.243805 |          1
