iteration,incumbent_aic,incumbent_bic,incumbent_MAE,incumbent_MSE,incumbent_MAE_TEST,incumbent_MSE_TEST,incumbent_MAE_VAL,incumbent_MSE_VAL,incumbent_RMSE_VAL,incumbent_RMSE_TEST,incumbent_RMSE,incumbent_sol_num,incumbent_num_parm,incumbent_pval_exceed,incumbent_pval_percentage,incumbent_loglik,incumbent_simple,incumbent_CAIC,incumbent_DIC,incumbent_HQIC,incumbent_AICc,best_aic,best_bic,best_MAE,best_MSE,best_MAE_TEST,best_MSE_TEST,best_MAE_VAL,best_MSE_VAL,best_RMSE_VAL,best_RMSE_TEST,best_RMSE,best_sol_num,best_num_parm,best_pval_exceed,best_pval_percentage,best_loglik,best_CAIC,best_DIC,best_HQIC,best_AICc
1,1799.5461956914394,1896.2805118966007,17.257262951725103,5398.9603016969695,10.646692751897158,453.6138451801405,10000000.0,10000000.0,10000000.0,21.298212253147927,73.47761769203578,143,26,17,0.6538461538461539,-873.7730978457197,f_rp_cxh_p,1887.8984259309009,1805.386408031072,1835.177540672567,1806.8208070904032,46064.688953608085,46183.25258407282,160.5306456187334,142128.83497064246,160.24412967109944,140633.16196355334,10000000.0,10000000.0,10000000.0,185.00841057924742,188.21361624117097,133.2,31.6,22.65,0.716388436348543,-23000.74447680404,46172.070894976045,46071.78705783626,46107.99474212361,46075.7889101693
2,132031.93081214273,132130.6651283479,16.831818181818182,773.25,17.0,609.8727272727273,10000000.0,10000000.0,10000000.0,24.695601374996464,27.807373122968663,144,26,21,0.8076923076923077,-65989.96540607137,f_rpxh_p,132120.2830423822,132037.77102448235,132067.56215712384,132039.2054235417,46064.688953608085,46183.25258407282,160.5306456187334,142128.83497064246,160.24412967109944,140633.16196355334,10000000.0,10000000.0,10000000.0,185.00841057924742,188.21361624117097,133.2,31.6,22.65,0.716388436348543,-23000.74447680404,46172.070894976045,46071.78705783626,46107.99474212361,46075.7889101693
3,49540.857285392456,49653.16611178303,16.863820182752946,753.318995385517,50.41683439811265,34028.00358603054,10000000.0,10000000.0,10000000.0,184.4668089007628,27.446657271615372,145,30,21,0.7,-24740.428642696228,f_rp_c_p,49642.80216643799,49547.595991938186,49581.97037575529,49550.69855523373,46015.746932397946,46133.80151873074,117.90930191217035,99797.97279102386,121.12814210661614,102515.08642660482,10000000.0,10000000.0,10000000.0,149.6114217358043,143.55958267778516,133.9,31.45,22.65,0.7195702545303612,-22976.423466198972,46122.619149360675,46022.81134309339,46058.847155461655,46026.73572664477
4,2210.9772139759143,2346.6478056445994,905.4674614957547,874341.1344737372,878.2403050466836,850769.6732386242,10000000.0,10000000.0,10000000.0,922.3717652002496,935.0621019342711,146,36,27,0.75,-1069.4886069879572,f_rp_c_p,2333.3110712305534,2219.0636618307904,2260.312922411322,2225.5345910250944,40063.605617847104,40182.99797382111,162.34108407786715,143476.3670147107,164.19015735895033,145023.0764521724,10000000.0,10000000.0,10000000.0,194.49522992706693,188.9223191183503,134.7,31.8,22.95,0.7208633579786371,-20000.00280892355,40171.66719175536,40070.74864678558,40107.18549363171,40074.86438620954
5,16400.27027872348,16518.866360206757,20.82612786299705,1618.136590882069,17.992481479184743,665.3205615627213,10000000.0,10000000.0,10000000.0,25.793808589712402,40.22606854866716,147,32,20,0.625,-8168.135139361741,f_rpxh_p,16509.01148517205,16407.45823237226,16444.124241777175,16411.56439637054,38161.93725142299,38280.550881887735,162.31357470131942,143291.34097333593,164.23979189275283,145025.8500408895,10000000.0,10000000.0,10000000.0,194.55016452317858,187.28716624603962,135.1,31.6,22.75,0.7187800246453039,-19049.368625711497,38269.319192790965,38169.03535565116,38205.24303993852,38173.03285681533
6,38884.96197855321,39021.1325702219,22.561484076436013,5078.193597391434,15.921383686442796,534.2637174380986,10000000.0,10000000.0,10000000.0,23.114145397096095,71.26144537820879,148,36,28,0.7777777777777778,-19406.480989276606,f_rp_c_p,39007.295835807854,38893.04842640809,38934.29768698862,38899.519355602395,34141.23655524832,34260.45922984501,162.60005799605034,143506.5881532055,164.18586107707497,145022.06959039776,10000000.0,10000000.0,10000000.0,194.47109172428358,189.45986985880162,135.7,31.75,22.95,0.7213052771705565,-17038.86827762416,34249.128221021514,34148.36835300922,34184.74790921566,34152.45680368666
7,162153.9905467808,162255.22486298598,983.1681818181818,967109.6136363636,983.0,966609.8727272727,10000000.0,10000000.0,10000000.0,983.1631974027875,983.4173140820552,149,26,26,1.0,-81050.9952733904,f_p,162242.34277702027,162159.83075912044,162189.62189176193,162161.26515817977,34141.23655524832,34260.45922984501,162.60005799605034,143506.5881532055,164.18586107707497,145022.06959039776,10000000.0,10000000.0,10000000.0,194.47109172428358,189.45986985880162,135.7,31.75,22.95,0.7213052771705565,-17038.86827762416,34249.128221021514,34148.36835300922,34184.74790921566,34152.45680368666
8,9023.263430218816,9131.178629063035,128.41795737980618,84423.92251448828,129.5690915239668,71034.07329782975,10000000.0,10000000.0,10000000.0,266.52218162440016,290.55795035498215,150,29,19,0.6551724137931034,-4482.631715109408,f_rp_cxh_p,9121.81014856283,9029.777513213023,9063.006084236227,9032.421324955658,28945.638524225156,29064.007473312573,168.17936495607486,147689.1217789306,169.8143156538837,148543.2796189373,10000000.0,10000000.0,10000000.0,206.56242073699,202.59739872041445,136.85,31.55,22.6,0.7146699584662722,-14441.269262112579,29052.850557458045,28952.72539727575,28988.87579092341,28956.713441593885
9,37338.859722142784,37461.84943117241,16.849568092689218,772.9245883326051,16.995039702570754,609.6065792629646,10000000.0,10000000.0,10000000.0,24.690212215834933,27.801521331261803,151,33,22,0.6666666666666666,-18636.429861071392,f_rp_p,37450.99909129287,37346.27229934309,37384.084121541906,37350.924238271815,25258.529323827166,25376.483910159954,168.1802524517149,147689.10550835702,169.81406763901228,148543.2663115368,10000000.0,10000000.0,10000000.0,206.56215127903187,202.59710613100577,137.65,31.45,22.45,0.7122890060853199,-12597.814661913584,25365.401540789902,25265.593734522605,25301.62954689088,25269.522684393654
10,1648.0854762234976,1778.8624403458302,12.31309335303995,348.1353611321558,9.129167368976933,178.67563807596326,10000000.0,10000000.0,10000000.0,13.366960689549561,18.658385812608653,152,35,24,0.6857142857142857,-789.0427381117488,f_rp_c_p,1767.0211707766189,1655.9473005268494,1696.050748313477,1661.7811283974106,23396.68549871068,23514.370403666147,167.6678329155451,147452.60259654408,169.47445682313895,148525.4869075687,10000000.0,10000000.0,10000000.0,206.07479204365458,199.96695315272575,137.85,31.4,22.25,0.7076858314821453,-11666.942749355341,23503.38780753834,23403.73867822854,23439.717199957122,23407.635773033406
11,123397.64467931294,123510.95350570351,16.83181818182808,773.2499999997614,17.0,609.8727272727273,10000000.0,10000000.0,10000000.0,24.695601374996464,27.80737312296437,153,30,23,0.7666666666666667,-61668.82233965647,f_rp_p,123499.58956035848,123404.38338585867,123438.75776967578,123407.48594915422,23396.68549871068,23514.370403666147,167.6678329155451,147452.60259654408,169.47445682313895,148525.4869075687,10000000.0,10000000.0,10000000.0,206.07479204365458,199.96695315272575,137.85,31.4,22.25,0.7076858314821453,-11666.942749355341,23503.38780753834,23403.73867822854,23439.717199957122,23407.635773033406
12,38090.17893617021,38217.56227274619,16.82834634377797,773.1270660619384,16.9928154051297,609.765435727234,10000000.0,10000000.0,10000000.0,24.693428998971246,27.80516257931139,154,34,24,0.7058823529411765,-19011.089468085105,f_rp_c_p,38205.71646802181,38097.81613692204,38136.77377191476,38103.04380103508,22683.210389756736,22801.599020221478,167.66769037388838,147452.598261652,169.47411105162664,148525.4826333663,10000000.0,10000000.0,10000000.0,206.07470550134795,199.9668752037022,138.55,31.6,22.3,0.7046466157958706,-11310.00519487837,22790.5923311247,22690.308493984907,22726.516178272268,22694.31184383065
13,68998.2068247952,69150.45192664929,16.831812743761784,773.2496004524993,16.999994095035238,609.8725830255154,10000000.0,10000000.0,10000000.0,24.695598454492156,27.807365938767003,155,40,33,0.825,-34459.1034123976,f_rp_c_p,69134.13333285591,69007.19176685617,69053.02427861231,69016.53084714156,22683.210389756736,22801.599020221478,167.66769037388838,147452.598261652,169.47411105162664,148525.4826333663,10000000.0,10000000.0,10000000.0,206.07470550134795,199.9668752037022,138.55,31.6,22.3,0.7046466157958706,-11310.00519487837,22790.5923311247,22690.308493984907,22726.516178272268,22694.31184383065
14,75134.00109450462,75262.3844310806,16.82906226659468,773.2324433956192,16.993946991272786,609.7932078672548,10000000.0,10000000.0,10000000.0,24.693991331237946,27.807057438636313,156,34,26,0.7647058823529411,-37533.00054725231,f_rp_c_p,75249.53862635622,75141.63829525645,75180.59593024917,75146.86595936949,22683.210389756736,22801.599020221478,167.66769037388838,147452.598261652,169.47411105162664,148525.4826333663,10000000.0,10000000.0,10000000.0,206.07470550134795,199.9668752037022,138.55,31.6,22.3,0.7046466157958706,-11310.00519487837,22790.5923311247,22690.308493984907,22726.516178272268,22694.31184383065
15,32048.303602521235,32172.293311550864,20.349492233050942,1367.4161933786202,24.63218734266865,3372.8798784728465,10000000.0,10000000.0,10000000.0,58.07650022576125,36.97859101397213,157,33,24,0.7272727272727273,-15991.151801260618,f_rp_c_p,32160.44297167132,32055.716179721538,32093.52800192036,32060.36811865027,21381.338409561184,21500.116402780557,167.84372405202015,147482.31808947626,169.85575570576583,148663.63402833565,10000000.0,10000000.0,10000000.0,207.74377144799465,200.4256432198177,139.75,31.7,22.4,0.7055263811917651,-10658.969204780591,21489.060167199303,21388.45897614451,21424.78124171126,21392.515429867082
16,7736.742972705079,7858.339054188355,20.86802903983148,5285.875787132924,16.761414071143296,596.0397283878445,10000000.0,10000000.0,10000000.0,24.41392488699522,72.70402868571263,158,32,26,0.8125,-3836.3714863525397,f_rp_cxh_p,7845.484179153647,7743.930926353858,7780.596935758775,7748.037090352138,20479.674448930597,20598.477442149968,166.7263795649145,146944.79949590957,167.319037817803,147032.81348719116,10000000.0,10000000.0,10000000.0,199.8523259913943,197.72912931415266,141.05,31.7,22.45,0.7070888811917652,-10208.1372244653,20587.396206568716,20486.795015513922,20523.117281080667,20490.85146923649
17,32978.09034520342,33090.39917159399,16.73356954380668,770.1934241588704,16.901668995724645,608.2488794268464,10000000.0,10000000.0,10000000.0,24.662702192315553,27.75235889359444,159,30,21,0.7,-16459.04517260171,f_rp_c_p,33080.035226248954,32984.82905174915,33019.203435566254,32987.93161504469,19598.835411470904,19717.588404690272,166.72154275574027,146944.65862050385,167.31419759188958,147032.74074739488,10000000.0,10000000.0,10000000.0,199.85085217977942,197.72659355125745,142.7,31.7,22.35,0.7037555478584318,-9767.717705735453,19706.557169109023,19605.955978054233,19642.278243620975,19610.0124317768
18,162139.9905467808,162213.9694701615,983.1681818181818,967109.6136363636,983.0,966609.8727272727,10000000.0,10000000.0,10000000.0,983.1631974027875,983.4173140820552,160,19,19,1.0,-81050.9952733904,f_p,162204.55563810965,162144.25839425978,162166.02883734394,162143.7905467808,19598.835411470904,19717.588404690272,166.72154275574027,146944.65862050385,167.31419759188958,147032.74074739488,10000000.0,10000000.0,10000000.0,199.85085217977942,197.72659355125745,142.7,31.7,22.35,0.7037555478584318,-9767.717705735453,19706.557169109023,19605.955978054233,19642.278243620975,19610.0124317768
19,76000.77324394938,76119.86932543266,47.84000744672359,30585.446424458867,67.32019875740912,51042.93787528539,10000000.0,10000000.0,10000000.0,225.9268418654264,174.88695327113132,161,32,21,0.65625,-37968.38662197469,f_rp_c_p,76109.51445039795,76007.96119759817,76044.62720700308,76012.06736159645,19598.835411470904,19717.588404690272,166.72154275574027,146944.65862050385,167.31419759188958,147032.74074739488,10000000.0,10000000.0,10000000.0,199.85085217977942,197.72659355125745,142.7,31.7,22.35,0.7037555478584318,-9767.717705735453,19706.557169109023,19605.955978054233,19642.278243620975,19610.0124317768
20,162147.9905467808,162237.5439803469,983.1681818181818,967109.6136363636,983.0,966609.8727272727,10000000.0,10000000.0,10000000.0,983.1631974027875,983.4173140820552,162,23,23,1.0,-81050.9952733904,f_p,162226.14828891572,162153.15688846586,162179.51058272566,162153.62319984203,19598.835411470904,19717.588404690272,166.72154275574027,146944.65862050385,167.31419759188958,147032.74074739488,10000000.0,10000000.0,10000000.0,199.85085217977942,197.72659355125745,142.7,31.7,22.35,0.7037555478584318,-9767.717705735453,19706.557169109023,19605.955978054233,19642.278243620975,19610.0124317768
