iteration,incumbent_aic,incumbent_bic,incumbent_MAE,incumbent_simple,pareto_optimal
14,415.7790063,454.868122,0.100812686,f_nb,TRUE
29,417.1910356,457.2801513,0.096903585,f_p,TRUE
533,411.1108265,462.7968324,0.09545923,f_rp_p,TRUE
0,416.6836743,477.9665704,0.094496861,f_rp_nb,TRUE
79,421.0801843,489.6615256,0.094329095,f_c_p,TRUE
669,416.8272059,489.7069922,0.094297737,f_rp_nb,TRUE
1054,418.0372895,492.9170758,0.094191011,f_rp_p,TRUE
214,421.5698198,499.7480512,0.092640865,f_rp_nb,TRUE
775,421.1416787,513.9168003,0.089601786,f_rp_p,TRUE
1018,434.1145102,567.9787476,0.089579695,f_rp_c_nb,TRUE
708,434.9754399,568.8396772,0.089508504,f_rp_c_p,TRUE
953,442.8281365,600.8861543,0.088506549,f_rp_nb,TRUE
